0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital,South Tyneside District Hospital
SSNAP level,D,E,D,E,E,E,E,E,D,E
SSNAP score,42.3,37.4,43.2,38.8,32.3,28.8,37.8,37,44,38.9
Case ascertainment band,A,A,A,B,B,A,A,A,A,A
Audit compliance band,C,D,C,D,D,C,C,B,A,B
Combined Total Key Indicator level,D,D,D,D,D,E,D,E,D,D
Combined Total Key Indicator score,47,44,48,48,40,32,42,39,44,41
Number of records completed: Team-centred post-72h all teams cohort,59,55,63,56,55,73,58,64,73,56
Patient-centred Domain levels: 1) Scanning,E,D,D,E,E,E,E,E,D,D
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 4) Specialist Assessments,D,B,C,C,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,C,E,C,B,C,E,E,E,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,D,C,B,C,D,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,D,E
Patient-centred Domain levels: 8) MDT working,D,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,A,D,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,B,B,C,B,A,C,C
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,E,D,E,D,D
Patient-centred KI level Patient-centred Total KI score,48,44,48,48,40,32,42,38,44,42
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,D,E,E,E,E,E,D,E
Patient-centred SSNAP level Patient-centred SSNAP score,43.2,37.4,43.2,38.8,32.3,28.8,37.8,36.1,44,39.9
Team-centred Domain levels: 1) Scanning,E,D,D,E,E,E,E,D,D,D
Team-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,D,B,C,C,E,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,C,E,C,B,C,E,E,E,C,C
Team-centred Domain levels: 6) Physiotherapy,C,D,C,B,C,D,A,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,D,E
Team-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,A,D,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,B,B,B,C,B,A,C,C
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,E,D,D,D,D
Team-centred KI level Team-centred Total KI score,46,44,48,48,40,32,42,40,44,40
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,E,E,E,E,E,D,E
Team-centred SSNAP level Team-centred SSNAP score,41.4,37.4,43.2,38.8,32.3,28.8,37.8,38,44,38
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,68,64,59,60,67,72,76,71,69
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.76,0.75,0.79,0.82,0.85,0.84,0.83,0.85,0.86
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,66,64,59,58,64,59,64,68,58
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.97,1,1,0.97,0.96,0.82,0.84,0.96,0.84
