0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital,Antrim Area Hospital
SSNAP level,X,X,X,X,X,E,E,E,E,D,C,C,C,C,D,B,B,B,C,D,D,D,C,D,D,C,B,C,B,B
SSNAP score,.,.,.,.,.,30.4,33.6,33.6,34.4,55,65,66,64,62.0,58.9,78,74.0,70.0,60.0,45.6,52.3,51.3,61.0,54.0,59.0,68.0,73.0,68.0,72.0,75.0
Case ascertainment band,X,X,X,X,X,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,X,X,,X,X,E,E,E,E,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,X,X,X,X,X,E,D,D,D,D,C,C,C,C,C,B,B,B,C,D,D,D,C,D,D,C,B,C,B,B
Combined Total Key Indicator score,.,.,.,.,.,38,42,42,43,55,65,66,64,62.0,62,78,74.0,70.0,60.0,48.0,55.0,54.0,61.0,54.0,59.0,68.0,73.0,68.0,72.0,75.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,107,111,115,90,110,82,93,119,111,98,124,140,131,115,137,114,126,131,132,140,118,126,115,138,119
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,E,B,B,A,C,C,B,B,A,B,B,B,A,B,A,B,C,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,D,C,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,D,E,D
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,E,D,D,C,D,B,B,C,C,B,B,D,C,C,D,D,D,C,D,E,B,B,B,A,C
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,B,B,B,B,B,B,A,A,A,B,B,B,D,B,B,B,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,C,C,C,C,C,B,C,B,B,C,A,A,B,B,C,C,C,D,D,C,A,A,B,C,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,C,C,C,D,D,C,B,B,C,B,B,B,C,D,D,D,D,D,C,B,B,C,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,C,C,D,D,C,C,B,C,C,C,A,B,C,B,C,C,B,A,B,B,B,B,B,B,B
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,E,E,D,E,D,C,D,C,D,E,C,C,B,D,E,E,D,D,D,D,C,C,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,D,E,E,E,B,B,D,B,B,B,A,A,A,B,C,B,B,B,B,A,B,A,D,A,B
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,B,A,A,A,C,C,C,C,C,C,C,C,C,D,E,C,C,C,D,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,No records,E,D,D,D,D,C,C,C,C,C,B,B,B,C,D,D,D,C,D,D,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,38,42,42,42,56,66,66,64,62.0,62,80,74.0,72.0,62.0,48.0,56.0,54.0,62.0,54.0,58.0,72.0,78.0,70.0,74.0,76.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,D,C,C,C,C,D,B,B,B,C,D,D,D,C,D,D,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,30.4,33.6,33.6,33.6,56,66,66,64,62.0,58.9,80,74.0,72.0,62.0,45.6,53.2,51.3,62.0,54.0,58.0,72.0,78.0,70.0,74.0,76.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,E,B,C,A,C,C,B,B,A,B,B,B,A,B,A,B,C,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,D,C,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,D,E,E
