0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01
Team,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital,Mount Gould Hospital
SSNAP level,C,B,B,A,A,A,A,A,B,A,A,B,C,C,B,B,B,B,B
SSNAP score,63.9,70.6,70.3,88.1,82.3,85,82.3,81.9,76.2,80.5,85,75.2,68.3,66.6,70.3,77.1,71.7,70.7,74.4
Case ascertainment band,A,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A
Audit compliance band,C,B,B,A,A,A,B,A,B,B,A,B,B,C,B,A,B,C,B
Combined Total Key Indicator level,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B
Combined Total Key Indicator score,71,74.3,74,88.1,86.7,85,86.7,81.9,80.2,84.8,85,83.3,75.7,74,74.0,77.1,75.5,78.6,78.3
Number of records completed: Team-centred post-72h all teams cohort,31,39,39,40,30,34,33,21,25,32,40,32,31,29,28,30,37,38,24
Patient-centred Domain levels: 2) Stroke unit,A,B,A,A,B,B,B,A,B,A,A,A,A,A,B,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,A,A,A,A,C,A,A,B,A,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,B,B,B,B,C,A,B,C,C,C,B,B,B,C,B
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,C,B,A,B,B,B,B,B,B,B,B,C,B,B,C,C,C,C
Patient-centred Domain levels: 10) Discharge processes,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,C,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,68.6,68.6,71.4,82.9,80,80,80,77.1,77.1,82.9,80,80,71.4,71.4,71.4,74.3,74.3,77.1,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,A,B,B,B,B,B,B,B,B,C,C,C,B,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,61.7,65.1,67.9,82.9,76,80,76,77.1,73.3,78.7,80,72.2,64.5,64.3,67.9,74.3,70.6,69.4,76.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,B,C,A,A,A,A,C,B,A,A,A,C,C,C,C,C,B,B
Team-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,D,C,C,B,B,C,B,B,C,B,C,D,B,D,C,B,B,C,D
Team-centred Domain levels: 9) Standards by discharge,B,D,C,B,B,B,B,B,C,C,B,B,D,C,C,D,D,D,D
Team-centred Domain levels: 10) Discharge processes,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,73.3,80,76.7,93.3,93.3,90,93.3,86.7,83.3,86.7,90,86.7,80,76.7,76.7,80,76.7,80.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,B,A,A,A,A,A,B,A,A,B,B,C,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,66,76,72.8,93.3,88.7,90,88.7,86.7,79.2,82.3,90,78.2,72.2,69,72.8,80,72.8,72.0,72.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,73,71,66,76,61,51,60,60,46,69,60,65,73,68,59,51,61,64
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,0.99,1,0.97,0.92,96%,0.95,0.94,95%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,17,28,25,32,17,9,12,7,4,8,11,15,16,19,17,16,23,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.23,0.39,0.38,0.42,0.28,0.18,0.2,0.12,0.09,0.12,0.18,0.23,0.22,28%,0.29,0.31,38%,22%
