0,2024-01-01,2024-04-01,2024-07-01
Team,Bayman Ward-Brentwood Community Hospital,Bayman Ward-Brentwood Community Hospital,Bayman Ward-Brentwood Community Hospital
SSNAP level,C,A,B
SSNAP score,67.3,83.7,70.2
Case ascertainment band,C,A,B
Audit compliance band,B,B,E
Combined Total Key Indicator level,A,A,A
Combined Total Key Indicator score,83.3,88.1,92.4
Number of records completed: Team-centred post-72h all teams cohort,30,39,42
Patient-centred Domain levels: 2) Stroke unit,C,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,B,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,A
Patient-centred Domain levels: 8) MDT working,C,D,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A
Patient-centred KI level Patient-centred Total KI score,80.0,82.9,91.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,64.6,78.7,69.5
Team-centred Domain levels: 2) Stroke unit,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C
Team-centred Domain levels: 9) Standards by discharge,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A
Team-centred KI level Team-centred Total KI score,86.7,93.3,93.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,B
Team-centred SSNAP level Team-centred SSNAP score,70.0,88.7,70.9
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),42,35,51
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),98%,95%,94%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),37,28,34
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),88%,80%,67%
