0,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU
SSNAP level,C,D,D,C,C,C,D,D,C,D,C,C,C,D,D,D,C
SSNAP score,68.0,59,57.9,64.6,60.0,62.0,53.0,55.0,62.0,57.0,68.0,63.7,64.0,58.0,50.3,58.9,69.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A
Combined Total Key Indicator level,C,D,C,C,C,C,D,D,C,D,C,C,C,D,D,C,C
Combined Total Key Indicator score,68.0,59,61,68.0,60.0,62.0,53.0,55.0,62.0,57.0,68.0,67.0,64.0,58.0,53.0,62.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,164,170,214,183,188,182,194,186,175,189,197,199,204,239,202,191,198
Patient-centred Domain levels: 1) Scanning,C,C,C,B,B,C,C,C,B,C,A,C,B,B,C,B,A
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,D,D,D,E,D,D,E,C,D,E,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,B,D,D,D,D,D,D,B,C,D,D,D,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,B,A,C,C,A,B,B,B,B,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,B,C,C,B,C,C,B,B,C,D,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,E,E,E,E,E,E,E,D,D,C,C,C,D,C,C
Patient-centred Domain levels: 8) MDT working,C,D,D,C,D,C,D,D,D,C,C,C,C,D,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,D,C,C,C,C,D,D,C,D,B,C,C,D,D,C,B
Patient-centred KI level Patient-centred Total KI score,68.0,58,60,68.0,60.0,62.0,52.0,54.0,62.0,58.0,70.0,66.0,64.0,58.0,52.0,62.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,D,C,C,C,D,D,C,D,B,C,C,D,D,D,B
Patient-centred SSNAP level Patient-centred SSNAP score,68.0,58,57,64.6,60.0,62.0,52.0,54.0,62.0,58.0,70.0,62.7,64.0,58.0,49.4,58.9,70.0
Team-centred Domain levels: 1) Scanning,C,C,C,B,B,C,C,C,B,C,B,C,B,B,C,B,A
Team-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,D,D,D,E,D,D,E,D,D,E,E,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,B,D,D,D,D,D,D,B,C,D,D,D,C,B
Team-centred Domain levels: 5) Occupational therapy,A,B,A,A,B,A,C,C,A,C,B,B,B,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,B,C,C,B,C,C,B,B,C,D,C,C
Team-centred Domain levels: 7) Speech and Language therapy,C,D,E,E,E,E,E,E,E,D,D,C,C,C,D,C,C
Team-centred Domain levels: 8) MDT working,C,C,C,C,D,C,C,C,D,C,C,B,C,C,C,C,B
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B
Team-centred KI level Team-centred Total KI level,C,C,C,C,C,C,D,D,C,D,C,C,C,D,D,C,C
Team-centred KI level Team-centred Total KI score,68.0,60,62,68.0,60.0,62.0,54.0,56.0,62.0,56.0,66.0,68.0,64.0,58.0,54.0,62.0,68.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,D,C,C,C,D,D,C,D,C,C,C,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,68.0,60,58.9,64.6,60.0,62.0,54.0,56.0,62.0,56.0,66.0,64.6,64.0,58.0,51.3,58.9,68.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),243,242,277,339,328,335,349,407,393,371,420,415,411,459,440,433,447
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),84%,0.78,0.8,87%,85%,89%,88%,93%,92%,91%,97%,97%,98%,98%,97%,95%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),202,197,212,259,225,214,180,182,186,196,218,190,165,240,247,227,194
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),83%,0.81,0.77,76%,69%,64%,52%,45%,47%,53%,52%,46%,40%,52%,56%,52%,43%
