0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital,Queen Elizabeth the Queen Mother Hospital
SSNAP level,D,D,C,C,D,B,C,C,A,A,D,D,D,D,D,C,D,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP,TFP
SSNAP score,54.7,54.7,61.4,64.6,54.3,74.1,64.1,68.4,86,88,57.9,52.7,48.4,53.2,57.0,61.8,59.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Case ascertainment band,B,B,B,A,C,A,B,B,A,A,B,C,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,,,,
Audit compliance band,C,C,B,B,C,B,B,A,A,A,A,A,B,B,B,B,B,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP,TFP
Combined Total Key Indicator level,C,C,C,C,B,B,B,B,A,A,C,C,D,D,C,C,C,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP,TFP
Combined Total Key Indicator score,64,64,68,68,71,78,71,72,86,88,61,62,51,56,60.0,65,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,82,80,88,89,74,105,88,80,99,97,87,72,109,101,97,99,108,Insufficient records,Insufficient records,Insufficient records,Too few to report,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,A,A,A,A,B,A,B,B,A,A,A,B,B,A,B,B,A,Insufficient records,Insufficient records,Insufficient records,Too few to report,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,D,C,C,C,C,C,D,D,E,D,E,Insufficient records,Insufficient records,Insufficient records,Too few to report,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Insufficient records,E,Too few to report,Too few to report,Too few to report
