0,2022-10-01,2023-01-01,2023-07-01,2023-10-01,2024-04-01,2024-07-01
Team,Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward),Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward),Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward),Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward),Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward),Goodmayes Hospital BHRUT Stroke Inpatient Rehab Team (Daisy Ward)
SSNAP level,B,C,C,C,B,A
SSNAP score,77.8,68.2,61.9,69.2,73.7,89.6
Case ascertainment band,A,A,A,A,A,A
Audit compliance band,B,D,D,C,D,B
Combined Total Key Indicator level,A,A,B,B,A,A
Combined Total Key Indicator score,81.9,80.2,72.9,76.9,86.7,94.3
Number of records completed: Team-centred post-72h all teams cohort,25,26,28,33,25,28
Patient-centred Domain levels: 2) Stroke unit,A,A,B,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,B,B,A,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,B,B,B,A
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,D,B,C,B,B,A
Patient-centred Domain levels: 10) Discharge processes,A,A,D,B,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,C,B,B,A
Patient-centred KI level Patient-centred Total KI score,77.1,77.1,65.7,77.1,80.0,88.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,C,D,C,C,A
Patient-centred SSNAP level Patient-centred SSNAP score,73.3,65.6,55.9,69.4,68.0,84.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,B,A,B,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,A,C,B,C,B,A
Team-centred Domain levels: 9) Standards by discharge,D,B,C,D,B,A
Team-centred Domain levels: 10) Discharge processes,A,A,D,B,A,A
Team-centred KI level Team-centred Total KI level,A,A,B,B,A,A
Team-centred KI level Team-centred Total KI score,86.7,83.3,80.0,76.7,93.3,100.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,C,C,B,A
Team-centred SSNAP level Team-centred SSNAP score,82.3,70.8,68.0,69.0,79.3,95.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),6,17,33,36,39,36
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),86%,81%,72%,80%,70%,72%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,10,2,6,7,14
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),67%,59%,6%,17%,18%,39%
