0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital,Basingstoke and North Hampshire Hospital
SSNAP score,.,.,38,43.9,42.2,48.2,53.4,61.8,54.5,58.9
Combined Total Key Indicator score,.,.,44.7,51.7,49.7,56.3,59.3,65,57.3,62
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Insufficient records,38,26,41,29,40,28,32,27
Patient-centred Domain levels: 1) Scanning,Too few to report,Insufficient records,E,D,E,D,D,B,D,D
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Insufficient records,D,D,D,D,C,C,D,C
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Insufficient records,E,C,E,C,A,B,E,D
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Insufficient records,E,D,D,B,C,C,D,B
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,Insufficient records,A,C,C,C,C,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,Insufficient records,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,Insufficient records,E,D,E,E,E,D,C,E
Patient-centred Domain levels: 8) MDT working,Too few to report,Insufficient records,D,D,D,D,C,C,C,B
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,Insufficient records,D,C,C,C,C,C,B,C
Patient-centred Domain levels: 10) Discharge processes,Too few to report,Insufficient records,B,C,B,B,B,A,B,B
Patient-centred KI level Patient-centred Total KI level,Too few to report,Insufficient records,D,D,D,D,C,B,D,C
Patient-centred KI level Patient-centred Total KI score,.,.,46,50,46,56,62,70,58,64
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,39.1,42.5,39.1,47.9,55.8,66.5,55.1,60.8
Team-centred Domain levels: 2) Stroke unit,Too few to report,Insufficient records,C,D,C,B,C,C,B,A
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Insufficient records,C,C,D,D,C,C,D,C
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Insufficient records,D,C,C,D,C,C,D,C
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Insufficient records,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,Too few to report,Insufficient records,E,B,C,B,C,B,B,C
Team-centred Domain levels: 10) Discharge processes,Too few to report,Insufficient records,C,C,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI level,Too few to report,Insufficient records,D,D,D,D,D,C,D,C
Team-centred KI level Team-centred Total KI score,.,.,43.3,53.3,53.3,56.7,56.7,60,56.7,60
Team-centred SSNAP level Team-centred SSNAP score,.,.,36.8,45.3,45.3,48.4,51,57,53.8,57
SSNAP level,,X,E,D,D,D,D,C,D,D
Case ascertainment band,,E,A,A,A,B,A,A,A,A
Audit compliance band,,X,D,D,D,C,C,B,B,B
Combined Total Key Indicator level,,X,D,D,D,D,D,C,D,C
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,E,D,E,D,D,C,D,C
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,E,D,D,D,D,D,D,D
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,40,33,36,44,57,71,62,53
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,1,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,0,0,0,1,1,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0,0,0,0.02,0.01,0,0
