0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital,James Paget Hospital
SSNAP level,D,C,D,D,C,B,C,B,B,C,B,C,B,C,B,C,B,C,C,C,C,D,C,C,C,C,B,B,C,C,C
SSNAP score,47,62.1,52.3,55.1,61.8,72,65.5,72,76,67,72.2,68.4,71.3,66.5,78.0,68,74,65.0,66.5,69.0,60.0,59.8,69.0,61.0,62.0,69.0,70.0,76.0,68.0,69.0,68.0
Case ascertainment band,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,B,B,B,A,B,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
Combined Total Key Indicator level,D,C,D,D,C,B,C,B,B,C,B,B,B,B,B,C,B,C,B,C,C,C,C,C,C,C,B,B,C,C,C
Combined Total Key Indicator score,55,69,55,58,65,72,69,72,76,67,76,72,75,70,78.0,68,74,65.0,70.0,69.0,60.0,63.0,69.0,61.0,62.0,69.0,70.0,80.0,68.0,69.0,68.0
Number of records completed: Team-centred post-72h all teams cohort,98,104,113,146,112,114,113,114,109,113,118,123,127,121,125,128,122,124,108,115,131,106,117,119,133,125,127,126,128,125,134
Patient-centred Domain levels: 1) Scanning,C,B,C,C,B,B,B,B,B,C,A,A,A,A,A,A,A,B,B,C,B,B,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,E,D,E,E,E,C,D,D,C,D,C,D,D,D
Patient-centred Domain levels: 3) Thrombolysis,E,C,D,D,C,C,C,D,C,C,C,C,C,B,B,C,B,D,C,B,B,C,C,C,B,B,B,B,C,B,C
Patient-centred Domain levels: 4) Specialist Assessments,D,B,C,C,C,B,B,B,B,C,B,B,B,B,B,C,B,B,B,B,B,B,B,C,B,A,B,B,B,B,B
