0,2014-10-01,2015-04-01,2019-10-01
Team,Wrexham Rehabilitation Unit,Wrexham Rehabilitation Unit,Wrexham Rehabilitation Unit
SSNAP level,D,D,D
SSNAP score,40.3,40.1,49.8
Case ascertainment band,A,A,B
Audit compliance band,D,D,E
Combined Total Key Indicator level,D,D,C
Combined Total Key Indicator score,47.4,47.1,65.5
Number of records completed: Team-centred post-72h all teams cohort,29,23,22
Patient-centred Domain levels: 2) Stroke unit,E,E,A
Patient-centred Domain levels: 5) Occupational therapy,C,D,C
Patient-centred Domain levels: 6) Physiotherapy,D,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,B
Patient-centred Domain levels: 8) MDT working,D,B,A
Patient-centred Domain levels: 9) Standards by discharge,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,C,D
Patient-centred KI level Patient-centred Total KI level,D,D,B
Patient-centred KI level Patient-centred Total KI score,51.4,54.3,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,43.7,46.1,56.5
Team-centred Domain levels: 2) Stroke unit,E,E,A
Team-centred Domain levels: 5) Occupational therapy,E,E,D
Team-centred Domain levels: 6) Physiotherapy,E,E,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D
Team-centred Domain levels: 9) Standards by discharge,A,A,B
Team-centred Domain levels: 10) Discharge processes,B,C,D
Team-centred KI level Team-centred Total KI level,D,D,D
Team-centred KI level Team-centred Total KI score,43.3,40,56.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D
Team-centred SSNAP level Team-centred SSNAP score,36.8,34,43.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),17,37,18
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,0.95
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,2,6
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.05,0.33
