0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01
Team,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals,North Bristol Hospitals
SSNAP level,E,D,D,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,B,B,B,B,C,B,B
SSNAP score,36.3,45.9,50.3,51.3,52.3,45.6,54,52.3,51.3,43.7,55.1,55.1,62,75,69.0,78,79,81.0,79.0,74.0,72.0,71.3,61.8,70.0,79.0
Case ascertainment band,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,C,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A
Combined Total Key Indicator level,D,D,D,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,B,B,B,B,C,B,B
Combined Total Key Indicator score,45,51,53,54,55,48,54,55,54,46,58,58,62,75,69.0,78,79,81.0,79.0,74.0,72.0,75.0,65.0,70.0,79.0
Number of records completed: Team-centred post-72h all teams cohort,114,136,141,140,167,151,165,161,160,155,153,212,246,214,229,237,238,263,233,246,254,235,239,240,259
Patient-centred Domain levels: 1) Scanning,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,D,D,D,C,D,D,C,C,E,C,D,D,C,D,C,C,E,E,E,E,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C,B,B,B,C,C,C,B,B,B,B,B,B,C,B,B,D,C,C,B,C,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,D,D,D,C,C,B,B,C,C,B,B,B,B,B,A,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,D,C,C,C,D,D,D,D,D,D,C,C,C,B,B,A,A,A,A,A,C,B,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,E,D,C,C,D,D,D,D,D,E,D,D,D,B,B,B,B,A,A,B,B,B,C,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,C,D,C,C,D,E,E,E,D,C,C,B,C,B,A,A,B,C,C,B,C
Patient-centred Domain levels: 8) MDT working,E,E,E,E,D,E,E,D,D,D,E,E,E,D,D,D,C,B,B,D,C,C,C,D,B
Patient-centred Domain levels: 9) Standards by discharge,E,D,E,E,E,E,D,D,D,E,D,C,B,C,C,B,B,C,C,C,B,B,D,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,C,C,C,B,B,C,B,A,B,A,B,A,A,A,A,A,B,A,A,A,B,B,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D,D,D,D,D,C,B,B,B,B,B,B,B,B,B,C,C,B
Patient-centred KI level Patient-centred Total KI score,44,50,50,52,54,50,54,54,54,46,56,58,62,74,70.0,78,78,80.0,80.0,72.0,72.0,74.0,64.0,68.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,D,D,C,B,B,B,B,B,B,B,B,B,C,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,35.5,45,47.5,49.4,51.3,47.5,54,51.3,51.3,43.7,53.2,55.1,62,74,70.0,78,78,80.0,80.0,72.0,72.0,70.3,60.8,68.0,78.0
Team-centred Domain levels: 1) Scanning,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,D,D,D,C,D,D,C,C,E,C,D,D,C,D,C,C,D,E,E,E,E,E,E,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,B,B,B,B,C,C,D,B,B,B,B,C,C,C,C,C,D,C,C,C,D,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,D,D,D,D,C,C,B,B,C,C,B,B,B,C,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,D,C,C,C,D,E,D,D,D,D,C,C,C,B,B,A,A,A,A,A,B,B,C,B,A
Team-centred Domain levels: 6) Physiotherapy,E,D,C,C,D,E,E,D,D,D,D,D,D,B,B,B,A,A,A,A,B,B,C,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,C,D,C,C,D,E,D,D,D,C,C,B,C,B,A,A,B,B,B,B,B
Team-centred Domain levels: 8) MDT working,D,D,C,D,C,E,D,C,D,D,D,E,D,C,D,C,C,B,B,B,C,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,E,D,E,E,E,E,D,D,D,E,D,C,C,C,C,B,B,B,C,C,B,B,D,B,B
Team-centred Domain levels: 10) Discharge processes,B,B,C,C,C,B,B,C,B,A,B,B,B,A,A,A,A,A,B,A,B,A,B,B,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,D,D,D,C,D,C,B,C,B,B,A,B,B,B,B,C,B,B
Team-centred KI level Team-centred Total KI score,46,52,56,56,56,46,54,56,54,46,60,58,62,76,68.0,78,80,82.0,78.0,76.0,72.0,76.0,66.0,72.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,D,D,D,C,B,C,B,B,A,B,B,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,37.1,46.8,53.2,53.2,53.2,43.7,54,53.2,51.3,43.7,57,55.1,62,76,68.0,78,80,82.0,78.0,76.0,72.0,72.2,62.7,72.0,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,202,256,235,237,261,276,275,253,249,335,337,322,335,361,349,333,391,374,401,405,395,404,381,370
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,0.99,0.99,0.98,0.99,1,0.99,0.97,98%,0.98,0.97,98%,99%,99%,98%,98%,99%,98%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,5,5,4,5,8,8,9,9,13,12,16,7,13,26,23,24,19,17,20,18,25,34,46,42
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.05,0.02,0.04,7%,0.07,0.07,5%,5%,5%,4%,6%,8%,12%,11%
