0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team,King George Hospital Inpatient Rehab Team
SSNAP level,C,C,C,A,C,B,C,B,C,B,B,B,A,A,A
SSNAP score,68.2,68.8,61.5,80.2,68.3,77.8,68.8,75.4,65,75.5,78.8,76,90.7,80.4,89.1
Case ascertainment band,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,C,A,A,B,B,A,A,A,A,A,A,C,B
Combined Total Key Indicator level,A,A,C,A,C,A,B,B,C,B,B,B,A,A,A
Combined Total Key Indicator score,80.2,80.5,68.3,80.2,68.3,81.9,72.4,75.4,65,75.5,78.8,76,90.7,89.3,93.8
Number of records completed: Team-centred post-72h all teams cohort,23,28,25,23,24,35,23,20,31,36,37,37,25,25,42
Patient-centred Domain levels: 2) Stroke unit,A,A,C,A,C,A,A,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,A,A,B,B,A,B,A,A,A,A
Patient-centred Domain levels: 8) MDT working,D,E,E,D,E,C,D,D,E,D,E,E,B,D,B
Patient-centred Domain levels: 9) Standards by discharge,B,C,D,B,D,C,D,D,E,E,E,E,C,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,D,C,C,C,C,C,C,B,A,C,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,C,B,C,B,B,C,C,B,B,C,A,A,A
Patient-centred KI level Patient-centred Total KI score,77.1,74.3,60,77.1,60,77.1,71.4,65.7,60,74.3,74.3,68.6,91.4,88.6,94.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,D,B,C,B,C,C,C,B,B,C,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,65.6,63.5,54,77.1,60,73.3,67.9,65.7,60,74.3,74.3,68.6,91.4,79.7,89.6
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,B,A,B,B,A,B,B,B,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,B,C,B,C,B,B,C,C,B,C,A,C,C,B
Team-centred Domain levels: 9) Standards by discharge,B,B,C,B,B,B,C,Too few to report,E,E,D,D,Too few to report,B,B
Team-centred Domain levels: 10) Discharge processes,C,B,D,C,C,C,C,Too few to report,C,C,A,C,Too few to report,A,A
Team-centred KI level Team-centred Total KI level,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,83.3,86.7,76.7,83.3,76.7,86.7,73.3,85,70,76.7,83.3,83.3,90.0,90,93.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,C,A,B,A,C,A,B,B,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,70.8,74.1,69,83.3,76.7,82.3,69.7,85,70,76.7,83.3,83.3,90.0,81,88.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),5,26,45,48,54,40,55,51,47,46,47,48,51,55,47
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.17,0.68,0.96,0.96,0.98,0.98,1,1,0.85,0.81,0.84,0.89,88%,0.86,0.8
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,6,5,4,0,9,6,8,15,10,9,9,15,15
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.13,0.1,0.07,0,0.16,0.12,0.17,0.33,0.21,0.19,18%,0.27,0.32
