0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital,Worcestershire Royal Hospital
SSNAP level,E,E,E,E,X,E,D,E,D,D,D,D,D,C,D,C,B,D,C,B,C,B,B,B,B,B,B,B,B,B,C
SSNAP score,33.9,33.9,35.5,38.3,.,37.6,41.8,39.1,46.8,47,54,48.6,54.2,60.8,59.4,67.5,73,56.0,64.6,71.0,66.8,77.0,79.0,70.3,73.0,75.0,75.0,77.0,72.0,71.0,66.0
Case ascertainment band,B,B,B,C,E,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,D,D,X,C,B,D,C,C,C,C,B,B,C,B,A,B,B,A,B,B,A,B,A,A,B,A,A,A,A
Combined Total Key Indicator level,D,D,D,D,X,D,D,D,D,D,C,D,D,C,C,B,B,C,C,B,B,A,B,B,B,B,B,B,B,B,C
Combined Total Key Indicator score,42,42,44,53,.,44,44,46,52,55,60,54,57,64,66.0,71,73,62.0,68.0,71.0,74.0,81.0,79.0,74.0,73.0,75.0,79.0,77.0,72.0,71.0,66.0
Number of records completed: Team-centred post-72h all teams cohort,173,181,175,171,Insufficient records,182,196,195,190,177,234,250,226,215,219,225,225,194,175,184,162,205,201,186,194,186,191,200,213,208,218
Patient-centred Domain levels: 1) Scanning,D,D,D,C,Insufficient records,C,D,C,C,C,B,C,C,B,B,B,A,C,C,C,C,B,C,C,B,B,B,A,B,B,B
Patient-centred Domain levels: 2) Stroke unit,E,E,E,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,C,Insufficient records,C,D,D,C,D,D,D,D,D,D,D,C,E,E,E,E,D,D,D,D,D,D,D,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,Insufficient records,E,E,E,D,D,C,D,D,C,D,B,B,C,B,B,B,A,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,C,B,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,Insufficient records,B,A,A,A,A,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,C,B,B,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,Insufficient records,E,E,E,E,E,D,E,C,C,B,B,C,B,B,C,B,A,B,B,B,B,B,B,C,C,D
Patient-centred Domain levels: 8) MDT working,D,D,D,D,Insufficient records,E,D,D,D,D,D,E,D,C,C,C,B,D,C,B,B,B,A,A,A,B,A,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,E,Insufficient records,E,E,E,E,D,C,B,B,B,B,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,Insufficient records,D,D,D,C,B,C,C,C,C,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,Insufficient records,D,D,D,D,D,C,D,C,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,42,42,44,52,.,44,44,46,52,54,60,54,60,64,66.0,70,74,64.0,68.0,70.0,72.0,80.0,76.0,74.0,74.0,72.0,78.0,78.0,72.0,72.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,X,E,D,E,D,D,D,D,D,C,D,C,B,D,C,B,C,B,B,B,B,B,B,B,B,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,33.9,33.9,35.5,37.6,.,37.6,41.8,39.1,46.8,46.2,54,48.6,57,60.8,59.4,66.5,74,57.8,64.6,70.0,65.0,76.0,76.0,70.3,74.0,72.0,74.1,78.0,72.0,72.0,66.0
Team-centred Domain levels: 1) Scanning,D,D,D,C,Insufficient records,C,D,C,C,C,B,C,C,B,B,B,A,C,C,C,C,B,C,C,B,B,B,A,B,B,B
Team-centred Domain levels: 2) Stroke unit,E,E,E,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,C,C,C,Insufficient records,C,D,D,C,D,D,D,D,D,D,D,D,E,E,E,E,D,D,E,D,D,D,D,D,D,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,Insufficient records,E,E,E,D,D,C,D,D,C,D,B,B,C,B,B,B,A,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,B,A,A,Insufficient records,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,B,B,C,C,C,D
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,Insufficient records,B,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B,B,B,A,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,Insufficient records,E,E,E,E,E,D,D,C,B,A,B,B,B,C,C,A,A,A,B,B,A,A,C,C,D,D
Team-centred Domain levels: 8) MDT working,D,D,D,C,Insufficient records,E,D,D,D,C,C,E,D,C,C,B,B,D,C,B,B,B,A,A,B,B,A,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,E,E,E,E,Insufficient records,E,E,E,E,D,C,C,C,C,B,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,Insufficient records,D,D,D,C,B,D,C,D,D,D,C,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,Insufficient records,D,D,D,D,D,C,D,D,C,C,B,B,C,C,B,B,A,A,B,B,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI score,42,42,44,54,.,44,44,46,52,56,60,54,54,64,66.0,72,72,60.0,68.0,72.0,76.0,82.0,82.0,74.0,72.0,78.0,80.0,76.0,72.0,70.0,66.0
