0,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit,Lanyon Stroke Rehabilitation Unit
SSNAP level,B,C,C,D,C,C,C,C,B,C,C,C,C,B,C,D,C,D,D,D,C,D,D
SSNAP score,76.5,69.6,68.1,58.1,62.7,63.8,68.0,69.2,70.3,67.0,66.4,67.4,68.8,76.0,64.3,59.6,68.5,55.9,58.3,58.9,69.6,51.1,54.8
Case ascertainment band,A,A,B,B,A,A,A,A,A,B,A,B,A,A,B,B,A,B,B,A,B,C,A
Audit compliance band,B,D,D,D,D,D,D,D,C,C,D,C,B,B,C,D,B,D,D,D,B,D,D
Combined Total Key Indicator level,A,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,C,B,C,B,B,C
Combined Total Key Indicator score,80.5,81.9,84.3,71.9,73.8,75,80.0,81.4,78.1,78.3,78.1,78.8,72.4,80.0,75.2,73.8,72.1,69.3,72.1,69.3,77.1,70.7,64.5
Number of records completed: Team-centred post-72h all teams cohort,60,59,59,57,45,69,60,72,74,50,37,46,48,52,54,48,56,56,45,43,44,40,46
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,B,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,B,B,B,C,B,B,B,C,B,B,B,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,B,B,C,B,B,B,B,B,B,C,B,B,B,C,C,C,D,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,C,B,C,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,B,B
Patient-centred Domain levels: 8) MDT working,E,E,B,C,D,C,C,C,C,D,C,E,E,D,E,D,D,E,D,E,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,D,D,B,C,C,B,B,B,B,B,B,B,C,B,B,B,B,B,C,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B
Patient-centred KI level Patient-centred Total KI level,B,B,A,B,B,B,B,A,A,B,A,B,B,B,B,B,B,C,B,C,B,B,C
Patient-centred KI level Patient-centred Total KI score,74.3,77.1,88.6,77.1,74.3,80,80.0,82.9,82.9,80.0,82.9,74.3,71.4,80.0,77.1,74.3,74.3,68.6,74.3,68.6,74.3,71.4,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,C,B,C,C,C,C,B,B,C,B,C,C,B,C,C,B,D,C,D,C,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,70.6,65.6,71.5,62.3,63.1,68,68.0,70.4,74.6,68.4,70.4,63.5,67.9,76.0,66.0,60.0,70.6,55.4,60.0,58.3,67.0,51.6,55.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,C,B,C,C,C,C,C,C,B,B,C,D,D,D,D,D,C,D,D,E
Team-centred Domain levels: 6) Physiotherapy,A,A,C,C,C,C,C,C,C,B,C,B,C,C,C,C,C,D,D,D,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,B,B,C,D,D,D,B,B,D,C,C,C,B,B,B,B,B,C,C,D,A,D,C
Team-centred Domain levels: 9) Standards by discharge,D,D,C,D,B,C,B,B,B,C,B,B,D,B,C,B,C,B,B,B,A,A,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,A,A,B,C,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI score,86.7,86.7,80,66.7,73.3,70,80.0,80,73.3,76.7,73.3,83.3,73.3,80.0,73.3,73.3,70.0,70.0,70.0,70.0,80.0,70.0,63.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,C,D,C,D,C,C,C,C,C,B,C,B,C,D,C,D,D,D,B,D,D
Team-centred SSNAP level Team-centred SSNAP score,82.3,73.7,64.6,53.8,62.3,59.5,68.0,68,66,65.5,62.3,71.3,69.7,76.0,62.7,59.2,66.5,56.5,56.5,59.5,72.2,50.6,53.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,.,92,107,109,120,91,86,66,106,124,95,64,58,63,83,90,92,96,106,106,88,77
