0,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Bristol and Weston SU,Bristol and Weston SU,Bristol and Weston SU,Bristol and Weston SU,Bristol and Weston SU,Bristol and Weston SU
SSNAP level,A,A,B,B,C,C
SSNAP score,85.0,86.0,78.0,80.0,66.5,67.0
Case ascertainment band,A,A,A,A,A,A
Audit compliance band,A,A,A,A,B,A
Combined Total Key Indicator level,A,A,B,B,B,C
Combined Total Key Indicator score,85.0,86.0,78.0,80.0,70.0,67.0
Number of records completed: Team-centred post-72h all teams cohort,314,398,389,425,403,404
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,B,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,A,B,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,C,C
Patient-centred Domain levels: 8) MDT working,B,B,B,B,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,B,B,C
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,84.0,86.0,78.0,78.0,70.0,68.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,B,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,84.0,86.0,78.0,78.0,66.5,68.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,D,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,B,A,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,C,C
Team-centred Domain levels: 6) Physiotherapy,A,A,B,B,C,D
Team-centred Domain levels: 7) Speech and Language therapy,B,A,A,A,C,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,C
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,B,A,B,C
Team-centred KI level Team-centred Total KI score,86.0,86.0,78.0,82.0,70.0,66.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,B,A,C,C
Team-centred SSNAP level Team-centred SSNAP score,86.0,86.0,78.0,82.0,66.5,66.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),358,350,392,503,615,652
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),97%,97%,97%,96%,95%,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),34,35,49,64,75,97
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),9%,10%,13%,13%,12%,15%
