0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital,Wirral Arrowe Park Hospital
SSNAP level,A,A,B,B,C,B,B,B,B,A,B,B,A,B
SSNAP score,86.0,82.0,70.0,73.0,65.0,70.0,79.0,75.0,73.0,81.0,78.8,73.0,83.0,76.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,B,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,B,B,C,B,B,B,B,A,A,B,A,B
Combined Total Key Indicator score,86.0,82.0,70.0,73.0,65.0,70.0,79.0,75.0,73.0,81.0,83.0,73.0,83.0,76.0
Number of records completed: Team-centred post-72h all teams cohort,165,167,173,159,162,169,147,166,180,171,149,167,165,162
Patient-centred Domain levels: 1) Scanning,A,A,B,B,B,C,B,A,A,A,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,C,D,E,E,E,E,E,E,E,D,D,D,C,E
Patient-centred Domain levels: 3) Thrombolysis,B,C,D,D,D,D,D,D,D,C,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,B,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,A,C,B,C,C,A,B,C,A,A,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,A,D,B,D,C,B,C,D,B,B,C,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,E,D,E,D,C,C,C,C,C,D,D,D
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,B,A,A,B,B,A,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,C,B,C,C,B,B,B,A,A,B,B,B
Patient-centred KI level Patient-centred Total KI score,84.0,84.0,66.0,72.0,64.0,68.0,78.0,74.0,72.0,84.0,82.0,72.0,80.0,74.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,C,B,C,C,B,B,B,A,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,84.0,84.0,66.0,72.0,64.0,68.0,78.0,74.0,72.0,84.0,77.9,72.0,80.0,74.0
Team-centred Domain levels: 1) Scanning,A,B,B,B,C,C,B,B,B,B,A,A,A,B
Team-centred Domain levels: 2) Stroke unit,C,D,E,E,E,E,E,E,E,E,D,D,C,E
Team-centred Domain levels: 3) Thrombolysis,B,C,D,D,D,D,D,D,D,D,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,B,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,B,B,A,A,B,A,A,B,A,A
Team-centred Domain levels: 6) Physiotherapy,A,B,B,B,C,B,B,C,C,B,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,D,E,C,B,C,C,C,C,D,C,C
Team-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,B,B,B,C,B,B,B,B,B,A,B,A,B
Team-centred KI level Team-centred Total KI score,88.0,80.0,74.0,74.0,66.0,72.0,80.0,76.0,74.0,78.0,84.0,74.0,86.0,78.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,B,B,C,B,B,B,B,B,B,B,A,B
Team-centred SSNAP level Team-centred SSNAP score,88.0,80.0,74.0,74.0,66.0,72.0,80.0,76.0,74.0,78.0,79.8,74.0,86.0,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),160,168,158,191,189,162,177,166,147,151,183,194,183,178
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),90%,92%,88%,91%,89%,85%,86%,79%,76%,83%,89%,89%,89%,88%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),160,162,154,190,187,157,177,165,146,150,176,179,163,153
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),100%,96%,97%,99%,99%,97%,100%,99%,99%,99%,96%,92%,89%,86%
