0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary,Royal Victoria Infirmary
SSNAP level,D,D,D,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SSNAP score,45.1,45.3,47.9,54.2,57.6,59.8,65,70,76,71,92,98,95,97,98.0,92.1,95,93.0,96.0,90.0,89.0,89.0,90.0,89.0,89.0,88.0,88.0,93.0,85.0,88.0,85.0
Case ascertainment band,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,C,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,D,C,C,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,50,53,56,60,64,63,65,70,76,71,92,98,95,97,98.0,97,95,93.0,96.0,90.0,89.0,89.0,90.0,89.0,89.0,88.0,88.0,93.0,85.0,88.0,85.0
Number of records completed: Team-centred post-72h all teams cohort,132,138,153,128,123,111,163,161,156,164,229,265,237,244,266,228,269,285,295,281,279,271,331,266,323,335,289,290,276,305,330
Patient-centred Domain levels: 1) Scanning,C,C,C,C,C,C,C,C,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,D,D,C,C,C,C,C,C,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,C,B,C,D,B,C,C,C,C,D,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,A,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,D,D,E,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,C,E,D,C,C,C,A,B,C,B,B,B,C,B,C,C,C,C,B,C,C,C,B,C,C,C
Patient-centred Domain levels: 8) MDT working,D,C,C,B,B,D,C,C,C,C,A,A,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,C,B,B,C,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,50,54,56,60,66,64,66,70,76,70,92,98,94,96,96.0,96,96,94.0,96.0,90.0,90.0,88.0,90.0,88.0,88.0,88.0,88.0,92.0,86.0,88.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,45.1,46.2,47.9,54.2,59.4,60.8,66,70,76,70,92,98,94,96,96.0,91.2,96,94.0,96.0,90.0,90.0,88.0,90.0,88.0,88.0,88.0,88.0,92.0,86.0,88.0,86.0
Team-centred Domain levels: 1) Scanning,C,C,C,C,C,C,C,C,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,D,D,C,C,C,C,C,C,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,C,B,C,D,B,D,D,C,C,D,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,C,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,D,E,E,C,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B
Team-centred Domain levels: 6) Physiotherapy,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,C,E,C,C,B,B,A,A,A,A,A,A,B,B,C,C,C,C,B,C,C,C,B,C,B,D
Team-centred Domain levels: 8) MDT working,D,D,C,B,C,D,C,C,C,C,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,D,D,D,C,D,B,B,B,B,B,C,B,B,A,A,B,B,A,A,A,B,A,A,B,A,A,B,A,B,B,A
Team-centred Domain levels: 10) Discharge processes,D,C,B,B,C,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,C,C,C,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,50,52,56,60,62,62,64,70,76,72,92,98,96,98,100.0,98,94,92.0,96.0,90.0,88.0,90.0,90.0,90.0,90.0,88.0,88.0,94.0,84.0,88.0,84.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,45.1,44.5,47.9,54.2,55.8,58.9,64,70,76,72,92,98,96,98,100.0,93.1,94,92.0,96.0,90.0,88.0,90.0,90.0,90.0,90.0,88.0,88.0,94.0,84.0,88.0,84.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,246,231,217,215,221,198,207,199,214,349,340,302,299,318,308,292,333,275,292,315,315,327,301,310,338,346,402,348,351,345
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.99,0.95,0.94,0.91,0.88,0.92,0.91,0.88,0.87,0.9,0.87,0.85,87%,0.88,0.86,93%,86%,85%,85%,83%,86%,83%,81%,83%,85%,86%,80%,82%,80%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,40,35,38,34,85,112,111,108,117,225,236,213,223,245,240,240,190,180,189,193,196,191,169,173,169,157,139,136,158,179
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.16,0.15,0.18,0.16,0.38,0.57,0.54,0.54,0.55,0.64,0.69,0.71,0.75,77%,0.78,0.82,57%,65%,65%,61%,62%,58%,56%,56%,50%,45%,35%,39%,45%,52%
