0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01
Team,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital,Newton Abbot Hospital
SSNAP level,B,C,A,A,A,A,B,A
SSNAP score,70,68.2,80.1,88.2,88,85,77.5,86.2
Case ascertainment band,B,A,A,A,A,A,A,B
Audit compliance band,C,E,D,B,B,B,D,B
Combined Total Key Indicator level,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,81.9,85.2,94.3,92.9,92.6,89.5,91.2,95.5
Number of records completed: Team-centred post-72h all teams cohort,40,40,46,52,56,54,64,52
Patient-centred Domain levels: 2) Stroke unit,A,B,A,B,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,A,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,D,E,E,D,C,D,D,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,77.1,77.1,88.6,85.7,88.6,85.7,85.7,94.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,A,A,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,66,61.7,75.3,81.4,84.1,81.4,72.9,85.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,A,A,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,C,B,A,A,B,C,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,86.7,93.3,100,100,96.7,93.3,96.7,96.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,74.1,74.7,85,95,91.8,88.7,82.2,87.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,90,94,83,79,91,101,103
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0
