0,2018-04-01
Team,Royal United Hospital Bath
SSNAP level,B
SSNAP score,78
Case ascertainment band,A
Audit compliance band,A
Combined Total Key Indicator level,B
Combined Total Key Indicator score,78
Number of records completed: Team-centred post-72h all teams cohort,154
Patient-centred Domain levels: 1) Scanning,B
Patient-centred Domain levels: 2) Stroke unit,C
Patient-centred Domain levels: 3) Thrombolysis,C
Patient-centred Domain levels: 4) Specialist Assessments,B
Patient-centred Domain levels: 5) Occupational therapy,A
Patient-centred Domain levels: 6) Physiotherapy,C
Patient-centred Domain levels: 7) Speech and Language therapy,C
Patient-centred Domain levels: 8) MDT working,B
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,A
Patient-centred KI level Patient-centred Total KI level,B
Patient-centred KI level Patient-centred Total KI score,76
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B
Patient-centred SSNAP level Patient-centred SSNAP score,76
Team-centred Domain levels: 1) Scanning,A
Team-centred Domain levels: 2) Stroke unit,C
Team-centred Domain levels: 3) Thrombolysis,C
Team-centred Domain levels: 4) Specialist Assessments,B
Team-centred Domain levels: 5) Occupational therapy,A
Team-centred Domain levels: 6) Physiotherapy,B
Team-centred Domain levels: 7) Speech and Language therapy,C
Team-centred Domain levels: 8) MDT working,B
Team-centred Domain levels: 9) Standards by discharge,B
Team-centred Domain levels: 10) Discharge processes,A
Team-centred KI level Team-centred Total KI level,B
Team-centred KI level Team-centred Total KI score,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B
Team-centred SSNAP level Team-centred SSNAP score,80
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),245
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),5
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.02
