0,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital,Prince Charles Hospital
SSNAP level,C,D,C,C,C,C,C,D,C,B,C,C,C,C,C,C,D
SSNAP score,63.7,59,67,66.0,63.0,65.0,64.0,59.8,64.6,70.0,60.0,67.0,67.0,64.0,65.0,63.0,57.0
Case ascertainment band,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Audit compliance band,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,D,C,C,C,C,C,C,C,B,C,C,C,C,C,C,D
Combined Total Key Indicator score,67.0,59,67,66.0,63.0,65.0,64.0,63.0,68.0,70.0,60.0,67.0,67.0,64.0,65.0,63.0,57.0
Number of records completed: Team-centred post-72h all teams cohort,164,166,149,129,152,138,141,130,111,132,140,158,152,135,140,151,169
Patient-centred Domain levels: 1) Scanning,A,A,A,A,B,A,A,A,A,B,B,A,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,C,D,C,C,C,C,B,D,C,D,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,D,C,D,D,D,E,D,D,D,E,E,E,E,E,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,E,C,C,C,C,C,B,B,B,C,C,C,C,E,D,D
Patient-centred Domain levels: 8) MDT working,B,C,D,D,D,D,D,C,C,C,D,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,C,C,C,A,A,A,A,B,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,C,C,B,C,B,B,C,C,B,C,B,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,68.0,60,62,66.0,60.0,64.0,64.0,64.0,66.0,70.0,60.0,66.0,62.0,62.0,62.0,64.0,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,64.6,60,62,66.0,60.0,64.0,64.0,60.8,62.7,70.0,60.0,66.0,62.0,62.0,62.0,64.0,60.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,C,B,C,C,C,D,C,C,D,C,C,C,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,D,C,C,D,C,D,D,D,D,D,E,D,D,C,C,D,D
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,B,C,A,A,B,B,B,A,B,B,B
Team-centred Domain levels: 6) Physiotherapy,B,C,C,B,B,B,C,B,B,B,C,B,B,B,B,B,D
Team-centred Domain levels: 7) Speech and Language therapy,D,E,C,C,C,C,C,B,B,B,C,D,C,D,E,D,E
Team-centred Domain levels: 8) MDT working,B,C,B,D,D,D,C,B,B,C,C,B,B,C,B,C,C
Team-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,C,C,C,A,A,A,A,B,A,A,B
Team-centred Domain levels: 10) Discharge processes,B,D,B,C,C,B,A,C,B,B,B,B,A,B,A,C,C
Team-centred KI level Team-centred Total KI level,C,D,B,C,C,C,C,C,B,B,C,C,B,C,C,C,D
Team-centred KI level Team-centred Total KI score,66.0,58,72,66.0,66.0,66.0,64.0,62.0,70.0,70.0,60.0,68.0,72.0,66.0,68.0,62.0,54.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,B,C,C,C,C,D,C,B,C,C,B,C,C,C,D
Team-centred SSNAP level Team-centred SSNAP score,62.7,58,72,66.0,66.0,66.0,64.0,58.9,66.5,70.0,60.0,68.0,72.0,66.0,68.0,62.0,54.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),203,189,167,164,129,149,165,157,160,163,120,155,166,172,188,170,185
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),94%,0.93,0.89,90%,89%,90%,90%,91%,88%,84%,83%,86%,85%,88%,90%,90%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),190,178,154,147,113,132,147,140,147,147,103,137,153,154,159,139,158
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),94%,0.94,0.92,90%,88%,89%,89%,89%,92%,90%,86%,88%,92%,90%,85%,82%,85%
