0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01
Team,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital,Frimley Park Hospital
SSNAP level,D,C,B,B,B
SSNAP score,51.9,60.3,71.3,70.3,72.2
Case ascertainment band,A,A,A,A,A
Audit compliance band,D,C,B,B,B
Combined Total Key Indicator level,C,C,B,B,B
Combined Total Key Indicator score,61,67,75,74,76
Number of records completed: Team-centred post-72h all teams cohort,119,102,114,124,109
Patient-centred Domain levels: 1) Scanning,C,A,B,B,A
Patient-centred Domain levels: 2) Stroke unit,C,C,B,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,C,A
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,D,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,D,D,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,C,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,62,68,78,74,76
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,52.7,61.2,74.1,70.3,72.2
Team-centred Domain levels: 1) Scanning,C,A,B,B,A
Team-centred Domain levels: 2) Stroke unit,C,C,B,C,C
Team-centred Domain levels: 3) Thrombolysis,C,B,B,C,A
Team-centred Domain levels: 4) Specialist Assessments,B,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,D,D,D,C,C
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,D,D,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,C,B,A,B
Team-centred Domain levels: 10) Discharge processes,B,B,B,B,A
Team-centred KI level Team-centred Total KI level,C,C,B,B,B
Team-centred KI level Team-centred Total KI score,60,66,72,74,76
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,51,59.4,68.4,70.3,72.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,177,193,201,184
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,1,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.01,0,0
