0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth
SSNAP level,B,B,B,B,C,C,C,B,C,B,B,B,B,B
SSNAP score,80.0,75.0,79.8,77.9,69.5,67.5,69.0,72.2,69.3,77.0,78.0,73.0,78.0,76.0
Case ascertainment band,A,A,A,B,B,B,A,A,A,A,A,A,A,A
Audit compliance band,A,B,B,A,B,A,A,B,B,A,A,A,A,A
Combined Total Key Indicator level,B,B,A,A,B,B,C,B,B,B,B,B,B,B
Combined Total Key Indicator score,80.0,79.0,84.0,82.0,77.0,71.0,69.0,76.0,73.0,77.0,78.0,73.0,78.0,76.0
Number of records completed: Team-centred post-72h all teams cohort,276,265,272,244,250,247,286,235,255,275,262,286,245,231
Patient-centred Domain levels: 1) Scanning,B,B,A,B,B,B,B,B,B,A,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,E,C,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,A,B,B,B,A,C,C,B,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,B,A,B,A,B,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,A,A,A,A,A,A,A,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,A,A,B,A,B,A,A,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,D,C,D,E,E,D,E,E,D
Patient-centred Domain levels: 8) MDT working,C,C,B,C,C,C,D,C,D,D,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,B,B,B,C,C,B,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,A,A,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,82.0,78.0,84.0,82.0,78.0,72.0,70.0,76.0,74.0,76.0,80.0,74.0,78.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,B,B,B,B,C,B,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,82.0,74.1,79.8,77.9,70.4,68.4,70.0,72.2,70.3,76.0,80.0,74.0,78.0,78.0
Team-centred Domain levels: 1) Scanning,B,B,A,B,B,B,B,B,B,A,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,E,C,C,C,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,C,B,B,B,B,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,B,A,B,A,B,B,B,B,A,A,B,B,A,A
Team-centred Domain levels: 5) Occupational therapy,A,C,A,A,A,B,A,A,B,A,A,B,A,B
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,B,B,B,A,A,B,A,B,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D,D,D,D,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,C,B,B,C,B,C,D,C,D,C,D,D,D,D
Team-centred Domain levels: 9) Standards by discharge,B,A,A,A,B,B,B,C,C,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,A,A,B,B,C,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,78.0,80.0,84.0,82.0,76.0,70.0,68.0,76.0,72.0,78.0,76.0,72.0,78.0,74.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,C,C,C,B,C,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,78.0,76.0,79.8,77.9,68.6,66.5,68.0,72.2,68.4,78.0,76.0,72.0,78.0,74.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),501,466,470,503,467,453,435,440,440,469,447,453,480,464
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,0,1,0,2,13,2,0,0,3,12,18,29,21
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0%,0%,0%,0%,0%,3%,0%,0%,0%,1%,3%,4%,6%,5%
