0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital,Birmingham Heartlands Hospital
SSNAP level,E,D,D,D,D,C,B,A,B,C,A
SSNAP score,28.8,49.6,48.7,42.5,55.3,64.6,72.9,80.8,72,69.3,83
Case ascertainment band,E,B,B,A,A,A,A,A,A,A,A
Audit compliance band,A,C,C,D,D,D,C,B,C,C,A
Combined Total Key Indicator level,D,D,D,D,C,B,A,A,B,B,A
Combined Total Key Indicator score,48,58,57,50,65,76,81,85,80,77,83
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,100,111,142,173,200,221,213,208,210,232
Patient-centred Domain levels: 1) Scanning,C,B,B,C,A,A,A,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,D,C,D,E,D,C,B,B,B,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,D,E,D,C,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,D,B,B,B,B,B,C,A
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,B,B,B,A,A,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,D,C,C,C,C
Patient-centred Domain levels: 8) MDT working,C,B,D,D,D,C,B,A,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,E,D,B,D,C,D,D,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,B,C,B,B,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,C,B,B,A,B,B,A
Patient-centred KI level Patient-centred Total KI score,48,58,56,50,64,76,78,86,78,78,82
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,C,B,A,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,28.8,49.6,47.9,42.5,54.4,64.6,70.2,81.7,70.2,70.2,82
Team-centred Domain levels: 1) Scanning,C,B,B,C,A,A,A,A,A,A,B
Team-centred Domain levels: 2) Stroke unit,D,C,D,E,D,C,B,B,B,C,C
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,C,B,B,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,C,B,D,B,B,B,B,B,C,A
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,C,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,C,B,B,B,B,B,B,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,B,B,B,B,B
Team-centred Domain levels: 8) MDT working,B,B,C,D,D,C,B,B,C,C,B
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,E,D,B,C,C,D,D,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,B,C,B,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,C,B,A,A,A,B,A
Team-centred KI level Team-centred Total KI score,48,58,58,50,66,76,84,84,82,76,84
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,C,B,B,B,C,A
Team-centred SSNAP level Team-centred SSNAP score,28.8,49.6,49.6,42.5,56.1,64.6,75.6,79.8,73.8,68.4,84
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,40,67,139,187,221,250,282,323,330,370
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.47,0.74,0.93,0.99,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,6,27,23,5,1,0,0,0,0,5
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.15,0.4,0.17,0.03,0,0,0,0,0,0.01
