0,2013-10-01,2014-01-01,2014-04-01,2014-07-01
Team,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU
SSNAP level,C,B,A,A
SSNAP score,62.2,74,91,89
Case ascertainment band,C,B,A,A
Audit compliance band,B,B,A,A
Combined Total Key Indicator level,B,A,A,A
Combined Total Key Indicator score,77,82,91,89
Number of records completed: Team-centred post-72h all teams cohort,273,292,268,303
Patient-centred Domain levels: 1) Scanning,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,A,B
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A
Patient-centred Domain levels: 4) Specialist Assessments,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,A,A
Patient-centred Domain levels: 8) MDT working,D,C,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C
Patient-centred KI level Patient-centred Total KI level,B,A,A,A
Patient-centred KI level Patient-centred Total KI score,80,82,92,92
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,64.6,74,92,92
Team-centred Domain levels: 1) Scanning,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,A,B
Team-centred Domain levels: 3) Thrombolysis,A,A,A,A
Team-centred Domain levels: 4) Specialist Assessments,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,B,A,A
Team-centred Domain levels: 8) MDT working,C,B,B,B
Team-centred Domain levels: 9) Standards by discharge,C,D,B,C
Team-centred Domain levels: 10) Discharge processes,E,D,D,D
Team-centred KI level Team-centred Total KI level,B,A,A,A
Team-centred KI level Team-centred Total KI score,74,82,90,86
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,B,A,A
Team-centred SSNAP level Team-centred SSNAP score,59.8,74,90,86
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,477,448,401
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.96,0.92,0.94
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,75,100,91
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.16,0.22,0.23
