0,2014-01-01,2014-04-01,2014-07-01,2015-01-01,2015-07-01,2019-01-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2024-04-01
Team,Grays Court Community Hospital,Grays Court Community Hospital,Grays Court Community Hospital,Grays Court Community Hospital,Grays Court Community Hospital,Brentwood Community Hospital,Meadow Court Community Hospital,Meadow Court Community Hospital,Meadow Court Community Hospital,Meadow Court Community Hospital,Meadow Court Community Hospital
SSNAP level,D,C,C,C,B,B,D,D,D,TFP,C
SSNAP score,52,65.4,65.4,65.6,74.7,78.9,48.9,44.2,52.1,.,62.9
Case ascertainment band,A,A,A,A,A,A,C,B,A,,A
Audit compliance band,E,D,C,D,D,E,D,D,C,D,D
Combined Total Key Indicator level,C,B,B,B,A,A,C,D,D,TFP,B
Combined Total Key Indicator score,65,76.9,72.6,77.1,87.9,98.6,67.6,54.8,57.9,.,74.0
Number of records completed: Team-centred post-72h all teams cohort,22,27,20,26,21,22,23,29,20,Too few to report,23
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,A,A,C,C,D,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,A,A,A,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,A,A,A,A,A,B,B,C,B,B
Patient-centred Domain levels: 8) MDT working,D,C,D,C,B,B,E,D,B,C,E
Patient-centred Domain levels: 9) Standards by discharge,D,B,C,B,B,A,B,C,B,B,A
Patient-centred Domain levels: 10) Discharge processes,C,C,D,E,D,A,D,E,E,E,C
Patient-centred KI level Patient-centred Total KI level,C,B,C,B,A,A,C,C,C,Not included in scoring,B
Patient-centred KI level Patient-centred Total KI score,60,77.1,68.6,74.3,85.7,97.1,68.6,62.9,65.7,.,71.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,C,B,B,D,D,D,,C
Patient-centred SSNAP level Patient-centred SSNAP score,48,65.6,61.7,63.1,72.9,77.7,49.5,50.8,59.1,.,60.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,Too few to report,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,A,A,E,E,E,Too few to report,C
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,A,A,A,B,C,Too few to report,A
Team-centred Domain levels: 7) Speech and Language therapy,E,C,B,A,A,A,C,E,D,Too few to report,C
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,B,D,C,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,D,E,D,A,D,E,E,E,C
Team-centred KI level Team-centred Total KI level,B,B,B,B,A,A,C,D,D,Too few to report,B
Team-centred KI level Team-centred Total KI score,70,76.7,76.7,80,90,100,66.7,46.7,50.0,.,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,C,B,B,D,E,D,,C
Team-centred SSNAP level Team-centred SSNAP score,56,65.2,69,68,76.5,80,48.2,37.7,45.0,.,65.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,9,29,20,36,23,32,35,31,37,20
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,0.95,1,0.92,73%,71%,63%,67%,69%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,1,15,7,11,22,21,22,13,10,4
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.11,0.52,0.35,0.31,0.96,66%,63%,42%,27%,20%
