0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital,Southend Hospital
SSNAP level,D,D,C,C,B,B,B,B,B,B,B,C,D,C,D,C,C
SSNAP score,58.7,57.6,66.5,68.4,73.1,70,76,70.3,71,78,71.3,68.4,59.8,65.5,59.8,62.7,62.7
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,B,B,B,A,A,B,A,A,B,B,B,B,B,B,B
Combined Total Key Indicator level,C,C,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
Combined Total Key Indicator score,69,64,70,72,77,70,76,74,71,78,75,72,63,69,63.0,66,66
Number of records completed: Team-centred post-72h all teams cohort,148,161,151,160,153,168,153,163,165,176,192,165,180,171,179,181,167
Patient-centred Domain levels: 1) Scanning,B,C,C,B,B,B,B,B,B,A,B,B,B,B,C,C,C
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,E
Patient-centred Domain levels: 3) Thrombolysis,A,A,B,B,B,B,B,B,B,B,B,C,C,C,D,C,D
Patient-centred Domain levels: 4) Specialist Assessments,B,C,B,B,B,B,B,B,B,B,C,D,E,D,D,D,C
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,B,A,B,B,C,C,C,C,B,C,B,C,C,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,B,B,B,B,A,B,B,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,C,D,C,C,C,C,B,B,B,B,C,C,C
Patient-centred Domain levels: 8) MDT working,C,D,C,D,C,D,C,C,C,B,B,B,D,C,B,A,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,C,C,C,C,B,C,C,C,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B,C,B,B,B,B,B,B,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,68,62,70,70,76,68,74,72,70,76,74,72,60,68,62.0,66,66
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,C,B,C,B,B,B,C,D,C,D,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,57.8,55.8,66.5,66.5,72.2,68,74,68.4,70,76,70.3,68.4,57,64.6,58.9,62.7,62.7
Team-centred Domain levels: 1) Scanning,B,C,C,B,B,B,B,B,B,A,B,B,B,B,C,C,C
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,E
Team-centred Domain levels: 3) Thrombolysis,A,B,B,B,B,B,B,B,B,B,B,C,C,C,D,C,D
Team-centred Domain levels: 4) Specialist Assessments,B,C,B,B,B,B,B,B,B,B,C,D,E,D,D,D,C
Team-centred Domain levels: 5) Occupational therapy,C,C,B,B,A,B,A,C,C,B,C,B,C,B,C,C,B
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,C,C,D,D,C,C,C,B,B,B,B,C,C,B
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,C,C,C,C,C,B,B,C,C,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI level,B,C,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C
Team-centred KI level Team-centred Total KI score,70,66,70,74,78,72,78,76,72,80,76,72,66,70,64.0,66,66
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,B,B,B,B,B,B,B,B,C,C,C,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,59.5,59.4,66.5,70.3,74.1,72,78,72.2,72,80,72.2,68.4,62.7,66.5,60.8,62.7,62.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,97,112,131,179,183,187,198,179,173,187,187,205,213,210,226,220
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.57,0.54,0.56,0.76,0.85,0.82,0.86,0.8,0.76,0.79,0.76,0.79,0.8,85%,0.87,0.83
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,46,58,92,132,161,156,152,160,155,147,157,165,165,169,189,184
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.47,0.52,0.7,0.74,0.88,0.83,0.77,0.89,0.9,0.79,0.84,0.8,0.77,80%,0.84,0.84
