0,2013-10-01,2014-04-01,2015-01-01,2016-01-01
Team,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre,Forest Ward - Swindon Intermediate Care Centre
SSNAP level,D,D,E,D
SSNAP score,48.4,44.3,39.4,42.1
Case ascertainment band,A,A,A,A
Audit compliance band,D,D,E,D
Combined Total Key Indicator level,D,D,D,D
Combined Total Key Indicator score,56.9,52.1,49.3,49.5
Number of records completed: Team-centred post-72h all teams cohort,30,27,22,25
Patient-centred Domain levels: 2) Stroke unit,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,E
Patient-centred Domain levels: 6) Physiotherapy,C,D,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,D,C,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,E,C
Patient-centred KI level Patient-centred Total KI level,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,57.1,54.3,48.6,45.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,E,E
Patient-centred SSNAP level Patient-centred SSNAP score,48.6,46.1,38.9,38.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,D,D,D,E
Team-centred Domain levels: 6) Physiotherapy,C,D,D,E
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,E
Team-centred Domain levels: 9) Standards by discharge,D,D,B,A
Team-centred Domain levels: 10) Discharge processes,C,C,E,C
Team-centred KI level Team-centred Total KI level,D,D,D,D
Team-centred KI level Team-centred Total KI score,56.7,50,50,53.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,48.2,42.5,40,45.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,34,49,27
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.93
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,18
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.02,0.67
