0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital,Tameside General Hospital
SSNAP level,E,D,D,D,D,D,D,D,B,D
SSNAP score,39,43,48.4,51,41,48,45.6,43,74.3,56.7
Case ascertainment band,A,A,B,A,A,B,A,A,A,C
Audit compliance band,A,A,A,A,A,A,B,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,D,D,B,C
Combined Total Key Indicator score,39,43,51,51,41,50.6,48,43,74.3,66.7
Number of records completed: Team-centred post-72h all teams cohort,78,73,61,86,72,59,57,55,59,39
Patient-centred Domain levels: 1) Scanning,C,C,C,D,D,D,C,B,A,B
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,E,E,D,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,C,D,D,D,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,E,E,E,D,E,C,C
Patient-centred Domain levels: 5) Occupational therapy,E,C,B,A,B,B,B,C,A,B
Patient-centred Domain levels: 6) Physiotherapy,E,D,C,C,C,B,D,D,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C
Patient-centred Domain levels: 8) MDT working,D,D,C,D,D,D,C,D,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,C,B,B,A
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,C,B,A,B,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D,B,B
Patient-centred KI level Patient-centred Total KI score,40,48,58,54,44,50,54,50,72,70
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,D,D,B,D
Patient-centred SSNAP level Patient-centred SSNAP score,40,48,55.1,54,44,47.5,51.3,50,72,59.5
Team-centred Domain levels: 1) Scanning,C,E,D,D,E,E,E,E,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,C,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,.,E,E,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,,
Team-centred Domain levels: 5) Occupational therapy,D,C,C,A,B,A,B,C,A,B
Team-centred Domain levels: 6) Physiotherapy,E,D,D,C,D,B,C,D,A,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,D,E,C,D,D,D,E,E,,
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,C,B,C,C,B,A
Team-centred Domain levels: 10) Discharge processes,C,B,B,B,C,B,A,B,A,A
Team-centred KI level Team-centred Total KI level,E,E,D,D,E,D,D,E,B,C
Team-centred KI level Team-centred Total KI score,38,38,44,48,38,51.1,42,36,76.7,63.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,E,D,E,E,B,D
Team-centred SSNAP level Team-centred SSNAP score,38,38,41.8,48,38,48.6,39.9,36,76.7,53.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,99,106,124,123,122,140,139,116,88
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,0.99,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,0,0,0,0,2,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.01,0,0,0,0,0.01,0.01,0.01
