0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01
Team,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital
SSNAP level,D,D,E,D,D,E,D,D
SSNAP score,41.8,40.9,36.9,41.9,44.1,36.9,46.5,41.8
Case ascertainment band,A,A,A,B,A,A,A,A
Audit compliance band,B,B,C,C,C,C,B,B
Combined Total Key Indicator level,D,D,D,D,D,D,D,D
Combined Total Key Indicator score,44,43,41,49,49,41,49,44
Number of records completed: Team-centred post-72h all teams cohort,35,42,35,25,28,28,31,34
Patient-centred Domain levels: 1) Scanning,C,D,D,D,D,C,C,B
Patient-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,C,D
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,D,E,D,E,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,D,D,D
Patient-centred Domain levels: 5) Occupational therapy,A,C,B,B,C,C,C,D
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,C,D,E,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,D,D,C,C,E,E,E
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,B,E,B,B,B,A,D
Patient-centred Domain levels: 10) Discharge processes,E,D,E,D,C,C,C,D
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,44,48,42,52,50,46,50,46
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,E,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,41.8,45.6,37.8,44.5,45,41.4,47.5,43.7
Team-centred Domain levels: 1) Scanning,D,E,E,D,D,D,D,C
Team-centred Domain levels: 2) Stroke unit,C,D,D,D,D,E,C,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,D,E,D,D
Team-centred Domain levels: 5) Occupational therapy,A,C,B,C,C,D,C,D
Team-centred Domain levels: 6) Physiotherapy,C,C,B,C,D,D,E,D
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,C,C,E,E,E
Team-centred Domain levels: 8) MDT working,D,E,C,D,D,D,C,D
Team-centred Domain levels: 9) Standards by discharge,D,C,E,B,B,C,A,B
Team-centred Domain levels: 10) Discharge processes,E,D,E,D,C,C,C,D
Team-centred KI level Team-centred Total KI level,D,E,D,D,D,E,D,D
Team-centred KI level Team-centred Total KI score,44,38,40,46,48,36,48,42
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,E,E,D,E,D,E
Team-centred SSNAP level Team-centred SSNAP score,41.8,36.1,36,39.3,43.2,32.4,45.6,39.9
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,61,61,49,66,67,46,43
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,1,8,7,5,4
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.02,0.12,0.1,0.11,0.09
