0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth,Queen Alexandra Hospital Portsmouth
SSNAP level,E,E,E,E,E,D,D,D,D,C,C,B,C,C,C,B,C
SSNAP score,21.7,27.9,27,33.3,38.8,49.4,54.2,53.2,54,62.7,69.3,76,65.5,64.6,64.6,71,69
Case ascertainment band,C,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A
Audit compliance band,D,C,C,C,D,B,B,B,C,B,B,A,B,A,A,A,A
Combined Total Key Indicator level,E,E,E,E,D,D,D,D,C,C,B,B,C,C,C,B,C
Combined Total Key Indicator score,30,31,30,39,48,52,57,56,60,66,73,76,69,68,68.0,71,69
Number of records completed: Team-centred post-72h all teams cohort,188,237,227,225,217,237,261,253,270,219,246,245,270,229,247,273,299
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,D,D,D,D,D,C,B,C,C,C,C,B
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,E,D,D,D,D,E,C,C,C,D,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,C,D,D,D,D,D,C,D,D,D,A,A,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,C,C,C,C,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,C,B,C,C,B,A,A,A,A,A,A,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,C,B,B,B,B,A,A,A,A,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,D,E,E,D,D,C,C,D,D,D,D,D,C,D
Patient-centred Domain levels: 9) Standards by discharge,E,D,E,E,C,B,B,B,C,C,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,E,D,D,D,B,B,B,B,B,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,E,E,D,D,D,D,D,C,C,B,B,B,C,C,B,C
Patient-centred KI level Patient-centred Total KI score,30,30,30,40,48,52,56,56,60,66,74,76,70,68,68.0,72,68
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,C,B,B,C,C,C,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,21.7,27,27,34.2,38.8,49.4,53.2,53.2,54,62.7,70.3,76,66.5,64.6,64.6,72,68
Team-centred Domain levels: 1) Scanning,E,E,E,D,D,D,D,D,D,D,C,B,C,C,C,C,B
Team-centred Domain levels: 2) Stroke unit,C,D,D,D,E,D,D,D,D,E,C,C,C,D,C,C,D
Team-centred Domain levels: 3) Thrombolysis,C,D,D,D,D,D,C,D,D,D,B,A,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,C,C,C,C,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,E,E,E,C,B,C,C,B,A,A,A,A,A,A,B,A,B
Team-centred Domain levels: 6) Physiotherapy,E,E,D,C,B,B,A,B,A,A,A,A,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,D,E,E,E,E,D,D,C,C,D,D,D,D,D,D,C
Team-centred Domain levels: 9) Standards by discharge,E,D,E,E,C,B,B,B,C,C,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,E,D,D,D,B,B,B,B,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,E,E,E,D,D,D,D,C,C,B,B,C,C,C,B,B
Team-centred KI level Team-centred Total KI score,30,32,30,38,48,52,58,56,60,66,72,76,68,68,68.0,70,70
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,C,C,B,C,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,21.7,28.8,27,32.5,38.8,49.4,55.1,53.2,54,62.7,68.4,76,64.6,64.6,64.6,70,70
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,5,82,260,365,408,431,406,417,402,396,378,389,400,457,468,425
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,0.95,0.98,1,1,100%,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0,1,4,52,1,0,1,0,4,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0.01,0.13,0,0,0,0%,0.01,0
