0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital,Royal Surrey County Hospital
SSNAP level,D,C,C,B,B,A,A,B,B,B,C,B,B,B,C,C,A,B,D,C,B,B,X,D,C,D,C,C,A,A,B
SSNAP score,54.9,61.2,60.3,74.1,79.8,83,83,79.8,74.1,77.9,64.3,72,78.2,75.4,69.4,66.8,86.1,77.6,59.2,69.4,77.9,78.3,.,50.8,60.6,54.9,65.4,63.9,80.8,84.0,73.5
Case ascertainment band,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,B,A,B,C,B,A,A,E,C,A,A,A,A,A,A,B
Audit compliance band,C,C,C,B,B,A,A,A,B,B,D,E,D,D,D,D,B,B,D,D,B,C,X,D,D,C,C,C,B,C,C
Combined Total Key Indicator level,C,C,C,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,X,B,B,C,B,B,A,A,A
Combined Total Key Indicator score,61,68,67,78,84,83,83,84,78,82,79.7,90,92,88.7,81.7,82.7,90.7,86.0,82.0,86.0,82.0,87.0,.,70.3,71.3,61.0,72.7,71.0,85.0,93.3,86.0
Number of records completed: Team-centred post-72h all teams cohort,80,78,88,82,87,89,86,71,87,88,34,24,32,28,28,23,39,33,35,31,38,37,Insufficient records,31,45,48,41,54,51,40,28
Patient-centred Domain levels: 1) Scanning,A,A,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,Insufficient records,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,C,C,C,C,C,D,B,B,B,C,C,B,C,C,E,D,E,E,Insufficient records,E,E,E,E,D,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,B,B,C,C,A,B,C,B,C,A,B,C,B,E,C,E,C,D,C,C,D,B,Insufficient records,C,B,D,C,D,B,B,C
Patient-centred Domain levels: 4) Specialist Assessments,D,C,D,C,C,C,C,B,D,C,A,A,A,A,B,A,A,B,D,C,C,A,Insufficient records,A,B,D,B,B,B,A,B
Patient-centred Domain levels: 5) Occupational therapy,E,C,C,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,C,C,C,B,B,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,Insufficient records,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,B,C,D,C,B,B,B,B,B,D,E,B,C,A,A,A,A,Insufficient records,B,B,C,B,B,B,A,B
Patient-centred Domain levels: 8) MDT working,D,B,B,A,A,A,A,B,A,A,A,A,A,B,C,A,B,B,D,C,C,B,Insufficient records,C,B,D,C,D,C,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,B,B,B,B,B,A,A
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,B,B,A,A,C,B,B,A,A,A,A,A,A,A,A,A,A,B,Insufficient records,B,A,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,C,C,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,B,A,B,A,Insufficient records,B,B,C,B,B,B,A,A
Patient-centred KI level Patient-centred Total KI score,60,68,66,78,84,84,84,84,78,84,86,90,94,84,80.0,82,88,82.0,74.0,82.0,74.0,84.0,.,74.0,76.0,62.0,72.0,72.0,80.0,90.0,82.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,D,B,B,A,A,B,B,B,C,B,B,B,C,C,A,B,D,C,B,B,X,D,C,D,C,C,B,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,54,61.2,59.4,74.1,79.8,84,84,79.8,74.1,79.8,69.4,72,79.9,71.4,68.0,66.2,83.6,74.0,53.5,66.2,70.3,75.6,.,53.5,64.6,55.8,64.8,64.8,76.0,81.0,70.1
Team-centred Domain levels: 1) Scanning,A,A,B,B,A,B,A,A,A,A,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,D,D,C,C,C,C,C,C,D,A,A,A,A,B,B,A,B,B,C,C,B,Insufficient records,B,B,C,B,C,B,A,B
Team-centred Domain levels: 3) Thrombolysis,B,B,C,C,A,B,C,B,C,A,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,C,D,C,C,C,C,B,D,C,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,D,C,C,A,A,A,A,A,A,A,D,B,A,A,A,A,A,A,A,A,A,A,Insufficient records,D,D,D,C,C,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B,Insufficient records,C,B,C,B,C,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,C,C,B,C,D,C,C,C,C,C,C,E,E,C,C,B,B,A,A,Insufficient records,D,E,E,C,C,B,B,C
Team-centred Domain levels: 8) MDT working,D,B,B,B,A,B,B,B,A,B,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,A,B,B,B,B,B,A,A
Team-centred Domain levels: 10) Discharge processes,B,B,B,A,B,B,A,A,C,B,B,A,A,A,A,A,A,A,A,A,A,B,Insufficient records,B,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI level,C,C,C,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,C,C,C,B,B,A,A,A
Team-centred KI level Team-centred Total KI score,62,68,68,78,84,82,82,84,78,80,73.3,90,90,93.3,83.3,83.3,93.3,90.0,90.0,90.0,90.0,90.0,.,66.7,66.7,60.0,73.3,70.0,90.0,96.7,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,B,B,A,A,B,B,B,D,B,B,B,B,C,A,A,C,B,A,A,X,D,D,D,C,C,A,A,B
Team-centred SSNAP level Team-centred SSNAP score,55.8,61.2,61.2,74.1,79.8,82,82,79.8,74.1,76,59.2,72,76.5,79.3,70.8,67.3,88.7,81.2,65.0,72.7,85.5,81.0,.,48.2,56.7,54.0,66.0,63.0,85.5,87.0,77.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,126,116,115,124,133,147,145,148,127,62,51,59,60,50,51,63,82,76,78,78,76,64,69,56,48,66,78,77,75,72
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,0.99,0.99,1,1,1,1,1,1,1,100%,1,1,99%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
