0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport,St Mary's Hospital Newport
SSNAP level,D,E,E,D,D,D,D,D,D,D,D,D,D,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,B,C,B
SSNAP score,49.6,36.7,38,42.6,52.2,50.3,57.3,55.1,45,47.5,53.9,56,55.1,72,65.0,72,82,89.0,89.0,84.0,83.0,86.0,88.0,89.0,89.0,84.0,89.0,86.0,76.0,68.4,80.0
Case ascertainment band,B,C,B,B,A,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,D,C,B,C,B,C,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
Combined Total Key Indicator level,D,D,D,D,D,D,C,D,D,D,C,D,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B
Combined Total Key Indicator score,58,48,47,52.8,58,53,67,58,50,50,63,59,61,72,65.0,72,82,89.0,89.0,84.0,83.0,86.0,88.0,89.0,89.0,84.0,89.0,86.0,76.0,72.0,80.0
Number of records completed: Team-centred post-72h all teams cohort,68,62,53,59,65,84,52,80,61,64,53,78,67,87,73,76,78,78,80,93,60,76,94,87,64,89,83,73,89,94,89
Patient-centred Domain levels: 1) Scanning,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,C,C,C,C,E,C,E,E,D,C,E,E,E,E,D,C,B,C,C,C,C,C,C,C,D,C,C,C,C,D
Patient-centred Domain levels: 3) Thrombolysis,D,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,B,B,C,A,C,B,B,B,B,A,C,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,B,C,D,D,C,D,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,E,E,E,D,D,E,E,B,B,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,D,D,D,C,C,D,C,B,B,C,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,C,D,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,D,E,C,C,C,C,D,E,E,E,E,C,E,E,C,D,C,C,C,A,A,A,A,A,A,A,C,C,A
Patient-centred Domain levels: 8) MDT working,C,D,D,C,D,D,D,D,D,D,C,C,D,C,D,B,B,B,A,B,C,D,C,C,C,D,C,C,C,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,B,A,B,A,A,A,B,D,B,A,A,B,B,A,A,B,A,B,B,B,A,A,B,C,A,C,D,C
