0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01
Team,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital
SSNAP level,D,D,D,D,E,E,D,C,B,C,A,A,A,A,A,A,A,B,A,B,B
SSNAP score,51.3,47.7,51.9,46.8,34.5,34.7,57.9,69,80,69,81,82,86,85,86.0,86,96,78.0,83.0,77.0,77.0
Case ascertainment band,A,A,A,B,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,D,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,C,D,D,D,C,C,B,C,A,A,A,A,A,A,A,B,A,B,B
Combined Total Key Indicator score,57,53,61,58,58,43,61,69,80,69,81,82,86,85,86.0,86,96,78.0,83.0,77.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,155,174,163,134,108,149,152,163,185,178,170,138,158,161,141,136,173,197,175,149,155
Patient-centred Domain levels: 1) Scanning,B,C,B,C,A,C,B,B,A,B,B,C,A,B,B,B,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,D,E,D,D,C,E,C,C,D,D,C,C,B,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,A,B,D,B,A,B,C,C,B,B,B,B,B,A,D,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,A,B,B,E,D,C,B,B,B,B,A,A,A,A,A,A,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,D,E,C,C,B,B,A,A,A,A,A,A,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,C,D,D,D,C,B,A,B,A,A,A,A,A,A,A,A,A,A,A
