0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU,Royal London Hospital HASU
SSNAP level,B,B,C,A,A,B,B,B,C,B,A,B,B,B,A,A,B,B,B,D,C,B,B,B,C,B,B,B,B,C,C
SSNAP score,74.4,71.8,60.7,83.6,80.8,76,77,74.9,69.5,73.1,84.5,71,72,78.8,85.0,83.6,77,79.0,73.0,56.0,64.0,76.0,72.0,70.0,67.0,71.3,73.0,70.0,72.0,67.5,64.6
Case ascertainment band,B,B,C,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,B,B,A,B,B,B,B,B,C,C,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,A,B,B
Combined Total Key Indicator level,A,A,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,B,B,D,C,B,B,B,C,B,B,B,B,B,C
Combined Total Key Indicator score,87,84,84,88,85,76,81,83,77,77,89,83,80,83,85.0,88,81,79.0,73.0,59.0,64.0,76.0,72.0,70.0,67.0,75.0,73.0,70.0,72.0,71.0,68.0
Number of records completed: Team-centred post-72h all teams cohort,239,233,202,194,203,225,192,179,167,197,221,199,238,271,262,255,269,287,272,278,257,325,309,305,324,310,352,309,337,295,296
Patient-centred Domain levels: 1) Scanning,B,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,C,C,B,C,D,C,C,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,A,A,B,A,A,C,B,B,B,B,A,A,B,B,A,A,A,B,B,B,B,B,B,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,B,B,B,B,D,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,B,B,B,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B
