0,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital
SSNAP level,E,E,E,B,B,A,B,A,A,B,A,A,A,B,B,B,B,B,B,B,B,C,B,C
SSNAP score,35.2,34.3,35.3,77.9,78.3,81.7,78.8,83.6,87,77.9,92.0,87.0,84.0,79.0,74.0,74.0,78.0,76.0,77.0,77.0,74.0,63.0,74.0,67.5
Case ascertainment band,C,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,D,C,B,C,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Combined Total Key Indicator level,D,D,D,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,C,B,B
Combined Total Key Indicator score,46,47.4,56,82,87,86,83,88.0,87,82,92.0,87.0,84.0,79.0,74.0,74.0,78.0,76.0,77.0,77.0,74.0,63.0,74.0,71.0
Number of records completed: Team-centred post-72h all teams cohort,42,50,37,69,60,59,61,64,63,60,76,68,70,62,73,65,72,75,73,78,74,86,75,66
Patient-centred Domain levels: 1) Scanning,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,B,B,B,B,A,B,B,B,B,C,C,C,D,C,C,C,D,C,E,D,D
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,C,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,C,C,D,C,C,E,B,C,C,E,E,E,E,D,C,C,C,E,D,D
