0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Jersey General Hospital,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode,Jersey Health & Community Services Acute Episode
SSNAP level,TFP,X,TFP,TFP,E,E,E,X,E,E,TFP,X,E,E,E,E,TFP,X,X,X,X
SSNAP score,.,.,.,.,23.8,24.2,22.1,.,26.3,23.8,.,.,27.2,31.5,24.8,28.8,.,.,.,.,.
Case ascertainment band,,E,,A,A,A,A,E,A,A,,E,A,A,A,A,D,E,E,E,X
Audit compliance band,TFP,X,TFP,D,D,D,D,X,D,D,TFP,X,D,D,E,E,TFP,X,X,X,X
Combined Total Key Indicator level,TFP,X,TFP,TFP,E,E,E,X,E,E,TFP,X,E,E,E,E,TFP,X,X,X,X
Combined Total Key Indicator score,.,.,.,.,28.0,28.4,26,.,31.0,28.0,.,.,32.0,37.0,31.0,36.0,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Insufficient records,Too few to report,24,35,21,37,Too few to report,30,30,Too few to report,Too few to report,29,30,26,23,Too few to report,Insufficient records,Too few to report,Too few to report,None completed
Patient-centred Domain levels: 1) Scanning,Too few to report,Insufficient records,Too few to report,D,E,D,D,Too few to report,D,D,Too few to report,Too few to report,D,C,D,A,Too few to report,None entered,Too few to report,None entered,None entered
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Insufficient records,Too few to report,E,E,D,E,Too few to report,E,E,Too few to report,Too few to report,D,E,E,E,Too few to report,None entered,Too few to report,None entered,None entered
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,None entered,Too few to report,None entered,None entered
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,Insufficient records,Too few to report,Too few to report,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,Insufficient records,Too few to report,Too few to report,B,C,E,Too few to report,A,B,Too few to report,Too few to report,B,B,B,A,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,Insufficient records,Too few to report,Too few to report,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,B,D,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 8) MDT working,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,Insufficient records,Too few to report,Too few to report,E,E,E,Too few to report,E,E,Too few to report,Too few to report,D,E,C,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred Domain levels: 10) Discharge processes,Too few to report,Insufficient records,Too few to report,Too few to report,D,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Patient-centred KI level Patient-centred Total KI level,TFP,Insufficient records,TFP,TFP,E,E,E,Insufficient records,E,E,TFP,Insufficient records,E,E,E,E,TFP,Insufficient records,Insufficient records,Insufficient records,No records
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,28.0,28,22,.,30.0,28.0,.,.,32.0,36.0,34.0,36.0,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",TFP,X,TFP,TFP,E,E,E,X,E,E,TFP,X,E,E,E,E,TFP,X,X,X,X
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,23.8,23.8,18.7,.,25.5,23.8,.,.,27.2,30.6,27.2,28.8,.,.,.,.,.
Team-centred Domain levels: 1) Scanning,Too few to report,Insufficient records,Too few to report,D,E,D,D,Too few to report,D,D,Too few to report,Too few to report,D,C,D,A,Too few to report,None entered,Too few to report,None entered,None entered
Team-centred Domain levels: 2) Stroke unit,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred Domain levels: 3) Thrombolysis,Too few to report,Insufficient records,Too few to report,E,E,D,E,Too few to report,E,E,Too few to report,Too few to report,D,E,E,E,Too few to report,None entered,Too few to report,None entered,None entered
Team-centred Domain levels: 4) Specialist Assessments,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,None entered,Too few to report,None entered,None entered
Team-centred Domain levels: 5) Occupational therapy,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred Domain levels: 6) Physiotherapy,Too few to report,Insufficient records,Too few to report,A,B,C,C,Too few to report,A,B,Too few to report,Too few to report,B,A,D,A,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,Insufficient records,Too few to report,E,D,E,C,Too few to report,D,E,Too few to report,Too few to report,E,B,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred Domain levels: 8) MDT working,Too few to report,Insufficient records,Too few to report,E,E,E,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,None entered,Too few to report,None entered,None entered
Team-centred Domain levels: 9) Standards by discharge,Too few to report,Insufficient records,Too few to report,Too few to report,E,E,E,Too few to report,E,E,Too few to report,Too few to report,D,E,C,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred Domain levels: 10) Discharge processes,Too few to report,Insufficient records,Too few to report,Too few to report,E,Too few to report,E,Too few to report,E,E,Too few to report,Too few to report,E,E,E,E,Too few to report,Insufficient records,Too few to report,Too few to report,None entered
Team-centred KI level Team-centred Total KI level,TFP,Insufficient records,TFP,TFP,E,E,E,Insufficient records,E,E,TFP,Insufficient records,E,E,E,E,TFP,Insufficient records,Insufficient records,Insufficient records,No records
Team-centred KI level Team-centred Total KI score,.,.,.,.,28.0,28.9,30,.,32.0,28.0,.,.,32.0,38.0,28.0,36.0,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",TFP,X,TFP,TFP,E,E,E,X,E,E,TFP,X,E,E,E,E,TFP,X,X,X,X
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,23.8,24.6,25.5,.,27.2,23.8,.,.,27.2,32.3,22.4,28.8,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,1,22,46,45,35,46,57,62,46,52,61,58,48,52,59,53,47,27,23,14
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,1,1,1,100%,1,1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0,0.05,0.02,0%,0,0,0%,0%,0%,0%,2%,2%,2%,0%,0%,0%,0%,11%,4%,0%
