0,2019-04-01,2019-07-01,2019-10-01,2021-04-01
Team,Noble's Hospital,Noble's Hospital,Noble's Hospital,Noble's Hospital
SSNAP level,E,E,E,E
SSNAP score,39.1,34.2,29.1,27.9
Case ascertainment band,A,A,B,A
Audit compliance band,D,C,C,C
Combined Total Key Indicator level,D,E,E,E
Combined Total Key Indicator score,46.0,38,34,31.0
Number of records completed: Team-centred post-72h all teams cohort,38,43,23,38
Patient-centred Domain levels: 1) Scanning,B,D,D,D
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,B,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,E
Patient-centred Domain levels: 6) Physiotherapy,E,D,E,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,E
Patient-centred Domain levels: 10) Discharge processes,D,E,D,D
Patient-centred KI level Patient-centred Total KI level,D,E,E,E
Patient-centred KI level Patient-centred Total KI score,46.0,38,34,32.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E
Patient-centred SSNAP level Patient-centred SSNAP score,39.1,34.2,29.1,28.8
Team-centred Domain levels: 1) Scanning,B,D,D,D
Team-centred Domain levels: 2) Stroke unit,D,C,D,D
Team-centred Domain levels: 3) Thrombolysis,C,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,B,E,E,E
Team-centred Domain levels: 5) Occupational therapy,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,E,D,E,E
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,C,E
Team-centred Domain levels: 10) Discharge processes,D,E,D,D
Team-centred KI level Team-centred Total KI level,D,E,E,E
Team-centred KI level Team-centred Total KI score,46.0,38,34,30.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E
Team-centred SSNAP level Team-centred SSNAP score,39.1,34.2,29.1,27.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),74,68,52,47
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),91%,0.94,0.84,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),73,67,51,44
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),99%,0.99,0.98,94%
