0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent,Queens Hospital Burton upon Trent
SSNAP level,D,E,D,D,D,E,E,D,D,D,C
SSNAP score,44.2,38.8,41.6,50.1,40.3,39,36.8,45.9,46.8,56.5,60.3
Case ascertainment band,A,B,A,B,B,C,A,A,A,B,A
Audit compliance band,D,D,E,D,E,D,E,D,D,D,C
Combined Total Key Indicator level,D,D,D,C,D,D,D,D,D,B,C
Combined Total Key Indicator score,52,48,52,62,53,54,46,54,55,70,67
Number of records completed: Team-centred post-72h all teams cohort,85,86,101,89,96,79,96,113,107,90,91
Patient-centred Domain levels: 1) Scanning,B,A,B,A,A,A,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,D,D,C,E,D,D,D,D,C,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,E,D,D,C,D,D,D,B,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,D,E,D,D
Patient-centred Domain levels: 5) Occupational therapy,B,D,B,A,B,A,B,C,B,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,A,B,B,B,D,C,C,C,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,E,E,E,D,C,D
Patient-centred Domain levels: 8) MDT working,C,B,C,B,C,C,C,C,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,D,D,D,D,D,D,D,C
Patient-centred Domain levels: 10) Discharge processes,A,C,D,D,E,E,D,C,B,B,B
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,D,D,D,D,D,C,C
Patient-centred KI level Patient-centred Total KI score,52,48,50,62,52,54,46,52,54,68,66
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,D,D,E,E,E,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,44.2,38.8,40,50.1,39.5,39,36.8,44.2,45.9,54.9,59.4
Team-centred Domain levels: 1) Scanning,B,A,A,A,A,A,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,E,D,D,C,D,D,D,D,D,C,D
Team-centred Domain levels: 3) Thrombolysis,D,D,E,D,D,D,D,D,D,B,D
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,E,D,D
Team-centred Domain levels: 5) Occupational therapy,B,D,B,A,B,A,B,B,B,A,A
Team-centred Domain levels: 6) Physiotherapy,C,D,A,B,B,B,D,B,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,D,E,D,D,C,C
Team-centred Domain levels: 8) MDT working,C,B,B,B,C,C,C,C,D,C,C
Team-centred Domain levels: 9) Standards by discharge,D,D,D,D,D,D,D,D,D,D,C
Team-centred Domain levels: 10) Discharge processes,A,C,D,D,E,E,D,C,B,A,B
Team-centred KI level Team-centred Total KI level,D,D,D,C,D,D,D,D,D,B,C
Team-centred KI level Team-centred Total KI score,52,48,54,62,54,54,46,56,56,72,68
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,D,D,D,E,E,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,44.2,38.8,43.2,50.1,41,39,36.8,47.6,47.6,58.1,61.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,139,175,152,134,146,140,134,125,118,134
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.99,0.99,0.99,0.96,0.96,0.98,0.95,0.95
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,1,3,8,5,2,11,12,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.01,0.02,0.05,0.04,0.01,0.09,0.1,0.16
