0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital,Musgrove Park Hospital
SSNAP level,A,B,B,B,C,B,C,B,B,B,B,B,B,B
SSNAP score,85.0,76.0,75.0,72.0,68.0,71.3,67.0,70.0,72.0,77.0,78.0,70.0,77.0,79.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,B,B,B,C,B,C,B,B,B,B,B,B,B
Combined Total Key Indicator score,85.0,76.0,75.0,72.0,68.0,75.0,67.0,70.0,72.0,77.0,78.0,70.0,77.0,79.0
Number of records completed: Team-centred post-72h all teams cohort,171,180,171,138,149,176,182,221,182,183,180,197,165,158
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,D,D,E,D,D,D,D,D,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,C,D,E,D,D,C,D,D,D,C,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,B,C,C,C,C,D,D,C,C,C,B,C,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,C,A,C,A,A,A,A,C,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,C,B,B,B,B,A,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,B,C,C,C,C,C,C,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,B,B,B,B,C,B,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,A,A,A,A,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,B,B,C,B,C,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,84.0,76.0,76.0,72.0,66.0,74.0,66.0,72.0,72.0,78.0,78.0,70.0,76.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,B,B,B,C,B,C,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,84.0,76.0,76.0,72.0,66.0,70.3,66.0,72.0,72.0,78.0,78.0,70.0,76.0,80.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,D,D,E,D,D,D,D,D,C,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,D,D,E,D,D,C,D,D,D,C,D,C,D,D
Team-centred Domain levels: 4) Specialist Assessments,B,C,C,C,C,D,D,D,C,C,B,C,C,B
Team-centred Domain levels: 5) Occupational therapy,A,A,B,B,B,A,C,A,A,A,A,C,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,B,B,C,B,B,C,B,B,B,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,C,B,B,C,C,C,C,D,B,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,C,C,C,C,B,C,B,C
Team-centred Domain levels: 9) Standards by discharge,A,B,A,B,B,A,B,B,B,B,B,A,B,B
Team-centred Domain levels: 10) Discharge processes,A,B,A,A,A,B,A,A,A,A,A,B,A,A
Team-centred KI level Team-centred Total KI level,A,B,B,B,B,B,C,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,86.0,76.0,74.0,72.0,70.0,76.0,68.0,68.0,72.0,76.0,78.0,70.0,78.0,78.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,B,B,B,B,C,C,B,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,86.0,76.0,74.0,72.0,70.0,72.2,68.0,68.0,72.0,76.0,78.0,70.0,78.0,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),147,169,167,182,179,183,161,176,182,160,186,195,181,177
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),80%,78%,81%,79%,81%,85%,79%,83%,84%,71%,73%,80%,80%,80%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),135,142,129,147,151,151,142,161,160,134,157,158,140,127
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),92%,84%,77%,81%,84%,83%,88%,91%,88%,84%,84%,81%,77%,72%
