0,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital,Watford General Hospital
SSNAP level,B,A,A,B,B,A,A,A,A,A
SSNAP score,76.0,85.0,85.0,80.0,79.0,81.0,85.0,84.0,88.0,87.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,A,A,B,B,A,A,A,A,A
Combined Total Key Indicator score,76.0,85.0,85.0,80.0,79.0,81.0,85.0,84.0,88.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,146,146,169,161,178,174,160,178,185,162
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,B,C,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,A,A,C,A,B,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,B,A,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,B,C,D,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,C,C,B,C,C,C,B,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,B,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,78.0,86.0,88.0,80.0,80.0,82.0,86.0,82.0,88.0,90.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,A,B,B,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,78.0,86.0,88.0,80.0,80.0,82.0,86.0,82.0,88.0,90.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,C,B,C
Team-centred Domain levels: 3) Thrombolysis,C,C,C,B,C,B,B,B,A,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,A,B,C,B,C,B,A,B,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,A,B,B,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D,D,C,C,B,C
Team-centred Domain levels: 8) MDT working,D,B,B,C,C,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,B,A,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,B,B,B,A,A,A,A
Team-centred KI level Team-centred Total KI score,74.0,84.0,82.0,80.0,78.0,80.0,84.0,86.0,88.0,84.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,A,B,B,B,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,74.0,84.0,82.0,80.0,78.0,80.0,84.0,86.0,88.0,84.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),271,277,259,252,261,297,297,287,261,229
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),96%,100%,100%,100%,99%,99%,99%,98%,90%,91%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),11,1,1,1,0,0,2,8,30,40
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),4%,0%,0%,0%,0%,0%,1%,3%,11%,17%
