0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01
Team,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary,Cumberland Infirmary
SSNAP level,E,D,E,D,D,D,D,D,D,D,B,B,B,B,C,C
SSNAP score,26.6,42,31.2,45,44.1,51.3,53.2,59.4,57.9,55.1,72.2,73.1,72,70,66.0,64.6
Case ascertainment band,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B
Audit compliance band,E,D,E,D,C,C,B,C,B,B,B,A,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,D,D,D,C,C,D,B,B,B,B,C,C
Combined Total Key Indicator score,35,52,41,53,49,57,56,66,61,58,76,77,72,70,66.0,68
Number of records completed: Team-centred post-72h all teams cohort,72,75,69,80,94,103,88,87,91,106,92,80,88,87,88,86
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D,C,C,B,C,C,B,A,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,C,E,E,E,C,D,E,C,C,D,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,E,D,E,D,E,D,C,D,C,C,D,C,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,D,E,D,D,E,C,C,D,E,E,D
Patient-centred Domain levels: 5) Occupational therapy,C,B,C,B,B,B,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,D,C,B,B,B,B,B,A,A,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,D,E,C,C,D,B,B,C
Patient-centred Domain levels: 8) MDT working,D,B,D,C,D,C,C,B,C,C,B,B,B,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,E,B,D,B,A,A,A,A,B,A,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,D,C,C,D,B,B,B,B,C,C
Patient-centred KI level Patient-centred Total KI score,34,52,40,52,48,58,56,68,62,58,76,78,72,70,66.0,68
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,E,D,D,D,D,C,D,D,B,B,B,B,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,25.8,42,30.4,44.2,43.2,52.2,53.2,61.2,58.9,55.1,72.2,74.1,72,70,66.0,64.6
Team-centred Domain levels: 1) Scanning,D,D,D,D,D,C,C,B,C,C,B,B,A,A,B,A
Team-centred Domain levels: 2) Stroke unit,D,D,D,C,E,E,E,D,D,E,C,C,D,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,E,D,E,D,C,D,C,C,D,C,D,D
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,D,D,E,E,D,D,E,C,C,D,E,E,D
Team-centred Domain levels: 5) Occupational therapy,C,B,C,B,B,B,A,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,D,D,C,B,B,B,B,B,A,B,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,C,C,D,C,B,C
Team-centred Domain levels: 8) MDT working,C,B,C,B,C,C,C,C,C,C,B,B,B,C,C,C
Team-centred Domain levels: 9) Standards by discharge,D,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,E,B,D,B,A,A,A,A,B,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,D,C,C,D,B,B,B,B,C,C
Team-centred KI level Team-centred Total KI score,36,52,42,54,50,56,56,64,60,58,76,76,72,70,66.0,68
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,E,D,D,D,D,D,D,D,B,B,B,B,C,C
Team-centred SSNAP level Team-centred SSNAP score,27.4,42,31.9,45.9,45,50.4,53.2,57.6,57,55.1,72.2,72.2,72,70,66.0,64.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,127,130,135,165,147,131,131,99,98,130,149,158,131,142,129
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,0.99,0.97,0.95,0.86,0.67,0.64,0.86,0.89,0.92,0.93,92%,0.88
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,7,26,37,38,78,89,92,69,68,62,44,55,49
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.05,0.16,0.25,0.29,0.6,0.9,0.94,0.53,0.46,0.39,0.34,39%,0.38
