0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital,Craigavon Area Hospital
SSNAP level,X,X,X,X,X,E,E,E,E,C,C,B,C,B,C,D,D,D,D,D,C,B,B,C,B,B,C,B,B,B
SSNAP score,.,.,.,.,.,19.6,27.2,29.9,36,66,69,73.1,68,70.0,65,57,56.0,54.0,51.0,56.0,65.0,71.0,77.0,67.0,74.0,72.0,67.0,70.0,77.0,79.0
Case ascertainment band,X,X,X,X,X,D,A,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Audit compliance band,X,X,,X,X,D,D,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,X,X,X,X,X,E,E,E,D,C,C,B,C,B,C,D,D,D,D,D,C,B,B,C,B,B,C,B,B,B
Combined Total Key Indicator score,.,.,.,.,.,33,32,35,40,66,69,77,68,70.0,65,57,56.0,54.0,51.0,59.0,65.0,71.0,77.0,67.0,74.0,72.0,67.0,70.0,77.0,79.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,57,90,74,76,81,94,75,100,93,96,90,115,100,91,76,93,96,105,127,129,145,136,162,180,164
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,D,C,B,A,B,A,B,B,A,A,C,A,A,A,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,D,C,D,C,D,D,E,E,E,E,E,E,E,E,E,D,E,D,D,C
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,D,C,D,D,C,B,B,B,B,B,C,C,D,C,B,B,B,A,B,B,B,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,C,C,B,B,B,C,C,C,C,D,C,C,B,B,C,B,C,C,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,B,D,D,C,B,C,C,D,C,B,C,C,C,C,C,B,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,D,C,C,B,D,C,C,C,C,D,D,D,D,D,C,D,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,E,E,D,D,B,B,B,C,D,D,E,E,E,E,D,D,C,B,C,D,C,D,E,C,C
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,E,E,E,E,D,D,D,E,E,D,E,E,E,E,E,E,D,D,D,D,D,E,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,E,E,E,D,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,A,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,D,C,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,No records,E,E,E,D,C,C,B,C,C,C,D,D,D,D,C,C,B,B,C,B,B,C,B,B,B
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,32,32,32,40,66,68,76,66,68.0,66,56,58.0,56.0,50.0,60.0,66.0,70.0,78.0,66.0,74.0,74.0,68.0,70.0,76.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,C,C,B,C,C,C,D,D,D,D,D,C,B,B,C,B,B,C,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,19,27.2,27.4,36,66,68,72.2,66,68.0,66,56,58.0,56.0,50.0,57.0,66.0,70.0,78.0,66.0,74.0,74.0,68.0,70.0,76.0,80.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,D,C,B,A,B,A,B,B,A,B,C,A,A,A,A,B,A,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,E,C,D,C,D,D,E,E,E,E,E,E,E,E,E,D,E,D,D,C
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,D,C,D,D,C,B,A,C,B,B,C,C,D,C,C,B,B,B,B,B,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,C,C,B,B,B,D,C,D,D,D,C,C,B,B,C,C,C,C,C,B,B
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,C,D,C,C,B,C,C,C,C,A,C,C,C,C,D,B,A,B,B,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,C,B,D,B,C,C,C,C,C,D,D,D,D,D,C,D,B,C,B,B,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,D,E,C,C,B,A,A,B,D,D,E,E,E,D,D,E,C,B,C,C,D,E,E,C,D
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,D,E,E,E,D,D,E,D,D,E,E,E,E,E,E,E,D,D,D,D,D,E,D,D,D
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,E,E,E,C,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,No records,No records,No records,No records,No records,E,E,E,D,C,B,B,B,B,C,D,D,D,D,D,C,B,B,C,B,B,C,B,B,B
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,34,32,38,40,66,70,78,70,72.0,64,58,54.0,52.0,52.0,58.0,64.0,72.0,76.0,68.0,74.0,70.0,66.0,70.0,78.0,78.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,C,B,B,B,B,C,D,D,D,D,D,C,B,B,C,B,B,C,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,20.2,27.2,32.5,36,66,70,74.1,70,72.0,64,58,54.0,52.0,52.0,55.1,64.0,72.0,76.0,68.0,74.0,70.0,66.0,70.0,78.0,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,.,1,11,70,110,91,64,97,89,89,93,150,116,101,118,104,88,94,127,130,128,144,183,191,181
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,.,1,1,0.97,0.8,0.81,0.82,0.83,83%,0.85,0.83,82%,78%,61%,64%,62%,56%,68%,79%,77%,78%,76%,79%,82%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,.,0,1,20,72,59,38,75,55,53,60,89,59,51,48,45,41,33,38,36,37,52,74,73,48
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,.,.,.,0,0.09,0.29,0.65,0.65,0.59,0.77,62%,0.6,0.65,59%,51%,50%,41%,43%,47%,35%,30%,28%,29%,36%,40%,38%,27%
