0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01
Team,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital,Derriford Hospital
SSNAP level,E,D,D,D,D,D,D,E,D,D,B,C,B
SSNAP score,39.1,40.8,50.1,46.8,51.4,53.2,53.2,39.3,58.5,56,77,64,70
Case ascertainment band,A,A,A,A,B,A,A,B,A,A,A,A,A
Audit compliance band,D,D,D,C,B,B,B,C,C,B,A,A,A
Combined Total Key Indicator level,D,D,D,D,D,D,D,D,C,D,B,C,B
Combined Total Key Indicator score,46,48,59,52,57,56,56,46,65,59,77,64,70
Number of records completed: Team-centred post-72h all teams cohort,186,178,181,176,165,217,202,163,175,184,223,227,196
Patient-centred Domain levels: 1) Scanning,C,C,B,C,B,C,C,C,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,D,D,E,D,E,D,D,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,D,D,D,D,E,D,D,B,B,C
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,C,D,D,D,E,D,C,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,E,C,D,C,C,A,B,C,A,A,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,B,A,B,B,A,A,B,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,D,C,C,E,D,E,C,E,C
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,C,C,B,B,C,B,C,A,B,B
Patient-centred Domain levels: 10) Discharge processes,C,B,A,A,A,B,B,B,A,B,A,B,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,D,D,D,D,D,C,D,B,C,B
Patient-centred KI level Patient-centred Total KI score,46,50,60,56,58,58,58,46,64,58,78,64,70
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,E,D,D,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,39.1,42.5,51,50.4,52.3,55.1,55.1,39.3,57.6,55.1,78,64,70
Team-centred Domain levels: 1) Scanning,C,C,B,C,C,C,C,C,B,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,D,C,D,D,E,D,E,D,D,C,D,D
Team-centred Domain levels: 3) Thrombolysis,D,D,C,D,D,D,D,E,D,D,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,C,C,D,D,D,D,D,C,B,B,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,E,D,B,C,C,A,A,C,C,C
Team-centred Domain levels: 6) Physiotherapy,C,C,B,B,A,B,B,B,A,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,C,D,D,E,C,E,B,E,C
Team-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,B,C,C,B,B,C,B,C,A,B,B
Team-centred Domain levels: 10) Discharge processes,B,B,B,B,A,B,B,B,A,B,B,B,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,D,C,C,B,C,B
Team-centred KI level Team-centred Total KI score,46,46,58,48,56,54,54,46,66,60,76,64,70
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,E,D,D,B,C,B
Team-centred SSNAP level Team-centred SSNAP score,39.1,39.1,49.3,43.2,50.5,51.3,51.3,39.3,59.4,57,76,64,70
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,363,394,350,336,283,358,369,328,311,463,425,413
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.99,1,0.99,0.96,0.98,1,1,1,0.99,0.99,0.98
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,113,168,167,162,103,94,93,58,67,101,90,117
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.31,0.43,0.48,0.48,0.36,0.26,0.25,0.18,0.22,0.22,0.21,0.28
