0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Hexham General Hospital,Hexham General Hospital,Hexham General Hospital,Hexham General Hospital,Hexham General Hospital,Hexham General Hospital,Hexham General Hospital,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU,Northumbria Specialist Emergency Care Hospital HASU
SSNAP level,C,D,D,D,D,C,C,A,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,B,A,A,A,B,A,A
SSNAP score,69.3,56.1,53.1,55.1,59.8,63.9,60.3,88,83,78,89,84,80,82,82.0,84,87,76.0,71.3,80.0,84.0,82.0,81.0,80.0,77.0,83.0,85.5,89.0,75.0,92.0,87.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,B,A,A
Audit compliance band,B,D,C,B,B,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,C,D,D,C,B,C,A,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A,A
Combined Total Key Indicator score,73,66,59,58,63,71,67,88,83,78,89,84,80,82,82.0,84,87,76.0,75.0,80.0,84.0,82.0,81.0,80.0,81.0,83.0,90.0,89.0,79.0,92.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,24,28,23,30,34,31,27,246,200,230,241,260,259,250,280,279,259,253,233,267,255,250,263,269,227,240,247,269,226,241,256
Patient-centred Domain levels: 1) Scanning,C,A,C,B,C,B,C,B,C,C,A,B,C,B,B,B,A,B,C,B,A,A,A,B,B,A,A,A,C,A,A
Patient-centred Domain levels: 2) Stroke unit,A,A,C,B,B,B,C,B,B,C,B,C,C,C,C,C,C,D,D,D,C,C,C,D,D,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,A,C,D,D,C,C,D,B,B,B,A,B,C,B,B,B,B,C,C,B,B,B,B,B,B,D,B,A,D,A,A
Patient-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,B,B,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,B,A,B,C,C,B,C,C,B,B,B,A,C,A,B,B,A,B,A,A,A,A,A,B
Patient-centred Domain levels: 8) MDT working,D,C,C,D,C,C,C,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,A,A,B,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,A,D,D,C,D,C,B,B,B,C,B,A,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,D,D,C,B,B,B,A,A,A,A,A,A,A,A,A,B,B,C,D,C,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,B,C,C,D,C,B,C,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI score,72,68,60,58,64,70,66,88,86,78,90,84,82,82,82.0,86,86,76.0,78.0,78.0,86.0,82.0,80.0,80.0,80.0,84.0,88.0,88.0,78.0,92.0,90.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,D,D,C,C,D,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,68.4,57.8,54,55.1,60.8,63,59.4,88,86,78,90,84,82,82,82.0,86,86,76.0,74.1,78.0,86.0,82.0,80.0,80.0,76.0,84.0,83.6,88.0,74.1,92.0,90.0
Team-centred Domain levels: 1) Scanning,C,A,C,B,C,B,C,B,C,C,A,B,C,B,B,B,A,B,C,B,A,A,A,B,B,A,A,A,C,A,A
Team-centred Domain levels: 2) Stroke unit,A,B,C,B,B,B,C,B,B,C,B,C,C,C,C,C,C,D,E,D,D,D,D,D,D,C,C,C,D,C,C
Team-centred Domain levels: 3) Thrombolysis,A,D,D,D,D,B,D,B,B,B,A,B,C,B,B,B,B,C,C,B,C,B,B,B,B,D,B,B,D,A,B
Team-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,B,B,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B
Team-centred Domain levels: 8) MDT working,C,C,D,D,C,C,C,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B
Team-centred Domain levels: 9) Standards by discharge,A,D,D,C,D,C,B,B,B,C,C,B,D,D,C,D,B,C,C,A,B,B,A,A,A,C,A,B,A,B,C
Team-centred Domain levels: 10) Discharge processes,D,D,D,C,D,D,C,C,D,C,B,B,B,A,B,A,A,A,A,B,B,C,D,D,C,B,A,B,B,B,B
Team-centred KI level Team-centred Total KI level,B,C,D,D,C,B,C,A,B,B,A,A,B,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A
Team-centred KI level Team-centred Total KI score,74,64,58,58,62,72,68,88,80,78,88,84,78,82,82.0,82,88,76.0,72.0,82.0,82.0,82.0,82.0,80.0,82.0,82.0,92.0,90.0,80.0,92.0,84.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,D,D,D,D,C,C,A,B,B,A,A,B,A,A,A,A,B,C,A,A,A,A,B,B,A,A,A,B,A,A
Team-centred SSNAP level Team-centred SSNAP score,70.3,54.4,52.2,55.1,58.9,64.8,61.2,88,80,78,88,84,78,82,82.0,82,88,76.0,68.4,82.0,82.0,82.0,82.0,80.0,77.9,82.0,87.4,90.0,76.0,92.0,84.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,30,27,32,26,25,36,2,2,118,366,364,353,363,391,393,400,307,316,348,407,392,395,397,364,344,312,294,288,315,311
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.67,0.77,0.78,0.7,0.66,0.73,1,1,0.98,0.93,0.91,0.89,0.88,91%,0.92,0.93,93%,91%,93%,93%,92%,95%,93%,86%,82%,82%,84%,83%,85%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,7,19,28,24,24,27,2,2,53,168,168,161,166,184,192,195,168,162,159,161,141,143,139,181,221,226,199,206,213,218
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.23,0.7,0.88,0.92,0.96,0.75,1,1,0.45,0.46,0.46,0.46,0.46,47%,0.49,0.49,55%,51%,46%,40%,36%,36%,35%,50%,64%,72%,68%,72%,68%,70%
