0,2024-04-01,2024-07-01
Team,Lincolnshire Community Hospitals,Lincolnshire Community Hospitals
SSNAP level,E,D
SSNAP score,35.4,41.5
Case ascertainment band,A,A
Audit compliance band,E,D
Combined Total Key Indicator level,D,D
Combined Total Key Indicator score,44.3,48.8
Number of records completed: Team-centred post-72h all teams cohort,36,41
Patient-centred Domain levels: 2) Stroke unit,E,E
Patient-centred Domain levels: 5) Occupational therapy,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C
Patient-centred Domain levels: 8) MDT working,E,D
Patient-centred Domain levels: 9) Standards by discharge,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D
Patient-centred KI level Patient-centred Total KI level,D,D
Patient-centred KI level Patient-centred Total KI score,48.6,54.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D
Patient-centred SSNAP level Patient-centred SSNAP score,38.9,46.1
Team-centred Domain levels: 2) Stroke unit,E,E
Team-centred Domain levels: 5) Occupational therapy,E,D
Team-centred Domain levels: 6) Physiotherapy,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B
Team-centred Domain levels: 10) Discharge processes,D,D
Team-centred KI level Team-centred Total KI level,D,D
Team-centred KI level Team-centred Total KI score,40.0,43.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E
Team-centred SSNAP level Team-centred SSNAP score,32.0,36.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,2
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0%
