0,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital,Hinchingbrooke Hospital
SSNAP level,X,X,TFP,TFP,X,X,X,X,TFP
SSNAP score,.,.,.,.,.,.,.,.,.
Case ascertainment band,E,X,,,X,X,X,X,
Audit compliance band,X,X,,TFP,X,X,X,X,TFP
Combined Total Key Indicator level,X,X,TFP,TFP,X,X,X,X,TFP
Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,None completed,Too few to report,Too few to report,None completed,None completed,None completed,None completed,Too few to report
Patient-centred Domain levels: 1) Scanning,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 2) Stroke unit,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 8) MDT working,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Patient-centred KI level Patient-centred Total KI level,Insufficient records,No records,TFP,TFP,No records,No records,No records,No records,TFP
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,.
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 2) Stroke unit,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred Domain levels: 10) Discharge processes,Insufficient records,None entered,Too few to report,Too few to report,None entered,None entered,None entered,None entered,Too few to report
Team-centred KI level Team-centred Total KI level,Insufficient records,No records,TFP,TFP,No records,No records,No records,No records,TFP
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,.,.,.,.
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,TFP,TFP,X,X,X,X,TFP
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,TFP,TFP,X,X,X,X,TFP
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,24,32,27,27,26,23,23
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,0,0,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0,0,0,0,0,0
