0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath,Royal United Hospital Bath
SSNAP level,E,D,D,D,D,D,D,D,D,C
SSNAP score,34.2,41.8,41.5,43.3,42.3,41,57.9,45.6,59.8,67.5
Case ascertainment band,A,A,B,B,A,B,A,A,A,A
Audit compliance band,B,B,B,B,C,C,B,B,B,B
Combined Total Key Indicator level,E,D,D,D,D,D,C,D,C,B
Combined Total Key Indicator score,36,44,46,48,47,48,61,48,63,71
Number of records completed: Team-centred post-72h all teams cohort,149,194,152,135,157,128,157,152,173,168
Patient-centred Domain levels: 1) Scanning,D,D,D,C,D,D,B,C,B,B
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,D,B,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,C,D,B,B
Patient-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,B,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,C,C,B,B,D,D,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,E,C,E,E,D,C
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,C,B
Patient-centred Domain levels: 9) Standards by discharge,E,D,D,C,D,D,C,D,D,D
Patient-centred Domain levels: 10) Discharge processes,E,C,C,C,C,C,C,B,B,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,C,D,C,B
Patient-centred KI level Patient-centred Total KI score,36,44,46,48,46,50,62,48,62,70
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,34.2,41.8,41.5,43.3,41.4,42.8,58.9,45.6,58.9,66.5
Team-centred Domain levels: 1) Scanning,D,D,D,D,D,D,B,C,B,B
Team-centred Domain levels: 2) Stroke unit,D,C,D,D,D,E,C,D,C,C
Team-centred Domain levels: 3) Thrombolysis,C,C,C,D,C,D,B,C,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,D,D,C,D,B,B
Team-centred Domain levels: 5) Occupational therapy,D,D,C,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,C,B,C,D,D,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,E,C,B
Team-centred Domain levels: 8) MDT working,D,D,D,C,C,D,C,D,C,B
Team-centred Domain levels: 9) Standards by discharge,E,D,D,C,D,D,C,D,D,D
Team-centred Domain levels: 10) Discharge processes,E,C,C,C,C,C,C,B,B,B
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,C,D,C,B
Team-centred KI level Team-centred Total KI score,36,44,46,48,48,46,60,48,64,72
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,E,D,D,C,C
Team-centred SSNAP level Team-centred SSNAP score,34.2,41.8,41.5,43.3,43.2,39.3,57,45.6,60.8,68.4
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,147,214,218,235,213,215,202,196,214
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.99,0.92,0.92,0.93,0.94,0.93,0.92,0.95
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,20,46,78,60,65,67,67,64
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.01,0.09,0.21,0.33,0.28,0.3,0.33,0.34,0.3
