0,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital,Pinderfields Hospital
SSNAP level,B,B,A,B,A
SSNAP score,75.0,77.9,86.0,78.0,87.0
Case ascertainment band,A,A,A,A,A
Audit compliance band,A,B,A,A,A
Combined Total Key Indicator level,B,A,A,B,A
Combined Total Key Indicator score,75.0,82.0,86.0,78.0,87.0
Number of records completed: Team-centred post-72h all teams cohort,277,295,351,304,310
Patient-centred Domain levels: 1) Scanning,B,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,D,C,B,C,B
Patient-centred Domain levels: 3) Thrombolysis,C,B,B,B,B
Patient-centred Domain levels: 4) Specialist Assessments,D,C,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D
Patient-centred Domain levels: 8) MDT working,C,C,C,D,B
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,B,A
Patient-centred KI level Patient-centred Total KI score,74.0,82.0,86.0,78.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,74.0,77.9,86.0,78.0,86.0
Team-centred Domain levels: 1) Scanning,B,A,A,B,A
Team-centred Domain levels: 2) Stroke unit,C,C,B,C,B
Team-centred Domain levels: 3) Thrombolysis,C,B,B,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,C,B,C,B
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C
Team-centred Domain levels: 8) MDT working,C,C,C,D,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,B,A
Team-centred KI level Team-centred Total KI score,76.0,82.0,86.0,78.0,88.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,76.0,77.9,86.0,78.0,88.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),417,424,394,397,400
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),90%,87%,83%,87%,90%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),123,133,101,119,109
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),29%,31%,26%,30%,27%
