0,2019-10-01,2023-10-01,2024-01-01
Team,St Margaret's Hospital Essex,Cumberlege Intermediate Care Centre,Cumberlege Intermediate Care Centre
SSNAP level,B,B,B
SSNAP score,70.8,73.3,76.3
Case ascertainment band,A,B,A
Audit compliance band,D,D,C
Combined Total Key Indicator level,A,A,A
Combined Total Key Indicator score,83.3,90.7,84.8
Number of records completed: Team-centred post-72h all teams cohort,25,20,21
Patient-centred Domain levels: 2) Stroke unit,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,B
Patient-centred Domain levels: 8) MDT working,C,A,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,A
Patient-centred Domain levels: 10) Discharge processes,C,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A
Patient-centred KI level Patient-centred Total KI score,80,91.4,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,68,73.8,74.6
Team-centred Domain levels: 2) Stroke unit,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,C,C
Team-centred Domain levels: 7) Speech and Language therapy,B,A,C
Team-centred Domain levels: 9) Standards by discharge,B,B,A
Team-centred Domain levels: 10) Discharge processes,C,A,A
Team-centred KI level Team-centred Total KI level,A,A,A
Team-centred KI level Team-centred Total KI score,86.7,90.0,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B
Team-centred SSNAP level Team-centred SSNAP score,73.7,72.7,78.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),33,25,22
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.67,93%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),24,23,19
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.73,92%,86%
