0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford Royal Infirmary,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU,Bradford and Airedale SU
SSNAP level,E,E,D,D,C,C,D,C,D,D,C,B,B,B,C,D,D,C,C,C,D,D,C,D,C,C,C,D,D,D,C
SSNAP score,31.6,38.9,48.7,52.3,63.2,62.3,54.7,63.7,54.2,54.9,69,71,79,73,68.0,59,57.9,64.6,60.0,62.0,53.0,55.0,62.0,57.0,68.0,63.7,64.0,58.0,50.3,58.9,69.0
Case ascertainment band,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,C,B,B,C,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A
Combined Total Key Indicator level,E,D,D,D,B,C,C,C,D,C,C,B,B,B,C,D,C,C,C,C,D,D,C,D,C,C,C,D,D,C,C
Combined Total Key Indicator score,35,41,54,58,70,69,64,67,57,61,69,71,79,73,68.0,59,61,68.0,60.0,62.0,53.0,55.0,62.0,57.0,68.0,67.0,64.0,58.0,53.0,62.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,112,124,105,119,109,115,111,132,160,144,166,170,194,177,164,170,214,183,188,182,194,186,175,189,197,199,204,239,202,191,198
Patient-centred Domain levels: 1) Scanning,E,D,D,E,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,B,C,A,C,B,B,C,B,A
Patient-centred Domain levels: 2) Stroke unit,D,D,C,C,C,B,C,C,C,C,D,E,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,C,B,C,D,C,D,D,E,E,C,D,E,E,E,D,D,D,E,D,D,E,C,D,E,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,D,D,D,D,D,D,E,D,B,B,B,B,D,D,D,B,D,D,D,D,D,D,B,C,D,D,D,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,D,B,C,B,A,B,C,A,A,A,A,A,B,A,A,B,A,C,C,A,B,B,B,B,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,D,C,B,C,C,B,B,C,B,B,A,A,A,A,A,A,B,B,B,C,C,B,C,C,B,B,C,D,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,B,B,B,B,C,C,C,D,C,C,D,C,D,E,E,E,E,E,E,E,D,D,C,C,C,D,C,C
Patient-centred Domain levels: 8) MDT working,E,E,D,D,D,D,D,D,D,D,B,B,B,C,C,D,D,C,D,C,D,D,D,C,C,C,C,D,D,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,B,B,B,A,A,B,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,C,B,A,A,B,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,B,C,C,C,D,C,C,B,B,B,C,D,C,C,C,C,D,D,C,D,B,C,C,D,D,C,B
Patient-centred KI level Patient-centred Total KI score,34,40,54,58,70,68,64,66,58,60,66,70,78,72,68.0,58,60,68.0,60.0,62.0,52.0,54.0,62.0,58.0,70.0,66.0,64.0,58.0,52.0,62.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,C,C,D,C,D,D,C,B,B,B,C,D,D,C,C,C,D,D,C,D,B,C,C,D,D,D,B
