0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01
Team,Wexham Park Hospital,Wexham Park Hospital,Wexham Park Hospital,Wexham Park Hospital,Wexham Park Hospital
SSNAP level,E,E,D,D,D
SSNAP score,32.8,34.4,44.8,44,42.5
Case ascertainment band,A,A,A,A,A
Audit compliance band,E,E,E,E,D
Combined Total Key Indicator level,D,D,D,D,D
Combined Total Key Indicator score,41,43,56,55,50
Number of records completed: Team-centred post-72h all teams cohort,63,77,71,102,117
Patient-centred Domain levels: 1) Scanning,D,D,D,D,D
Patient-centred Domain levels: 2) Stroke unit,D,D,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,E
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,C
Patient-centred Domain levels: 6) Physiotherapy,C,D,D,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A
Patient-centred Domain levels: 8) MDT working,D,D,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,E,D,D,D,D
Patient-centred Domain levels: 10) Discharge processes,D,D,C,D,D
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,44,44,58,58,50
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,35.2,35.2,46.4,46.4,42.5
Team-centred Domain levels: 1) Scanning,E,E,E,E,D
Team-centred Domain levels: 2) Stroke unit,E,D,C,D,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,E,E
Team-centred Domain levels: 5) Occupational therapy,B,C,A,A,C
Team-centred Domain levels: 6) Physiotherapy,D,D,D,C,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A
Team-centred Domain levels: 8) MDT working,C,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,E,D,D,D,E
Team-centred Domain levels: 10) Discharge processes,D,D,C,D,D
Team-centred KI level Team-centred Total KI level,E,D,D,D,D
Team-centred KI level Team-centred Total KI score,38,42,54,52,50
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,30.4,33.6,43.2,41.6,42.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,31,58,96,117
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.97,0.64,0.83,0.98
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,1,6
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.02,0.01,0.05
