0,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital,Royal Sussex County Hospital
SSNAP level,B,C,C,C,B,B,D,C,D,D,C,C,D,D
SSNAP score,73.1,67.7,65.9,64.6,70.3,73.1,56.4,69.3,58.7,57.0,62.7,68.0,51.0,56.0
Case ascertainment band,A,B,B,A,A,A,B,A,B,A,A,A,A,A
Audit compliance band,B,B,B,B,B,B,C,B,B,B,B,A,A,A
Combined Total Key Indicator level,B,B,B,C,B,B,C,B,C,C,C,C,D,D
Combined Total Key Indicator score,77.0,75.0,73.0,68.0,74.0,77.0,66.0,73.0,65.0,60.0,66.0,68.0,51.0,56.0
Number of records completed: Team-centred post-72h all teams cohort,145,125,135,130,150,145,129,150,129,160,177,170,151,146
Patient-centred Domain levels: 1) Scanning,A,B,A,B,A,A,A,A,A,B,A,B,B,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,E,E,E,E,E,E,D,D,D,D,D,D,E
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,C,B,B,C,C,D,D,C,D,D,C
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,B,A,B,A,B,B,A,A,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,B,A,C,B,B,B,B,A,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,B,C,B,B,C,C,B,C,C
Patient-centred Domain levels: 8) MDT working,C,C,C,C,B,C,C,C,D,D,C,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,B,B,B,B,C,B
Patient-centred Domain levels: 10) Discharge processes,A,A,B,B,A,A,A,A,B,B,C,B,C,B
Patient-centred KI level Patient-centred Total KI level,B,B,B,C,B,B,C,B,C,C,C,C,D,D
Patient-centred KI level Patient-centred Total KI score,78.0,74.0,72.0,68.0,74.0,76.0,66.0,74.0,64.0,60.0,66.0,68.0,50.0,56.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,C,C,C,B,B,D,B,D,D,C,C,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,74.1,66.8,65.0,64.6,70.3,72.2,56.4,70.3,57.8,57.0,62.7,68.0,50.0,56.0
Team-centred Domain levels: 1) Scanning,A,B,A,B,A,A,A,A,A,B,A,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E,D,E,D,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,C,B,B,C,C,D,D,D,D,D,D
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,B,A,B,A,B,B,A,A,C,C
Team-centred Domain levels: 6) Physiotherapy,A,A,B,B,B,A,C,B,B,B,B,A,C,C
Team-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,B,C,B,B,C,B,B,C,C
Team-centred Domain levels: 8) MDT working,C,B,B,C,B,B,B,C,C,C,C,B,C,D
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,B,B,B,B,C,B
Team-centred Domain levels: 10) Discharge processes,A,A,B,B,A,A,B,A,B,B,C,B,C,B
Team-centred KI level Team-centred Total KI level,B,B,B,C,B,B,C,B,C,C,C,C,D,D
Team-centred KI level Team-centred Total KI score,76.0,76.0,74.0,68.0,74.0,78.0,66.0,72.0,66.0,60.0,66.0,68.0,52.0,56.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,C,C,C,B,B,D,C,D,D,C,C,D,D
Team-centred SSNAP level Team-centred SSNAP score,72.2,68.6,66.8,64.6,70.3,74.1,56.4,68.4,59.6,57.0,62.7,68.0,52.0,56.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),216,196,170,203,212,187,174,210,217,180,167,190,209,216
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),94%,93%,90%,90%,90%,89%,87%,90%,91%,87%,82%,81%,82%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),38,50,56,64,46,47,51,51,52,56,43,53,63,72
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),18%,26%,33%,32%,22%,25%,29%,24%,24%,31%,26%,28%,30%,33%
