0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital,Royal Derby Hospital
SSNAP level,D,D,D,C,C,C,D,D,D,C
SSNAP score,51.3,58.5,59,61.2,64.8,64.8,54.7,58.5,59.4,64.8
Case ascertainment band,A,A,B,A,A,A,B,A,A,A
Audit compliance band,C,C,C,C,C,C,C,C,C,C
Combined Total Key Indicator level,D,C,C,C,B,B,C,C,C,B
Combined Total Key Indicator score,57,65,69,68,72,72,64,65,66,72
Number of records completed: Team-centred post-72h all teams cohort,206,158,114,170,167,158,134,178,185,146
Patient-centred Domain levels: 1) Scanning,D,D,C,C,C,C,C,C,D,B
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,C,D,B,D,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,B,B,B,B,B,C,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,B,B,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,D,C,C,B,B,A,B,B,C,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,A,B,A,A,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,B,B,B,B,B,B,C,B,C
Patient-centred KI level Patient-centred Total KI level,D,C,C,C,B,B,C,C,C,B
Patient-centred KI level Patient-centred Total KI score,56,64,68,68,70,74,64,66,66,72
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,C,C,C,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,50.4,57.6,58.1,61.2,63,66.6,54.7,59.4,59.4,64.8
Team-centred Domain levels: 1) Scanning,D,D,C,C,B,C,C,C,D,B
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,C,C,C,C
Team-centred Domain levels: 3) Thrombolysis,D,C,C,C,D,C,D,C,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,A,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,B,A,B,B,B,C,B,A,B
Team-centred Domain levels: 6) Physiotherapy,A,B,B,B,B,B,B,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,C,B,C,B,B,B,B,C,C,B
Team-centred Domain levels: 9) Standards by discharge,C,B,A,B,A,A,B,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,B,B,B,B,B,B,C,B,C
Team-centred KI level Team-centred Total KI level,D,C,B,C,B,B,C,C,C,B
Team-centred KI level Team-centred Total KI score,58,66,70,68,74,70,64,64,66,72
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,C,C,C,D,D,D,C
Team-centred SSNAP level Team-centred SSNAP score,52.2,59.4,59.8,61.2,66.6,63,54.7,57.6,59.4,64.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,3,111,261,265,277,316,311,270,197
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,0,0,0,0,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.33,0.01,0,0,0,0,0,0,0
