0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01
Team,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes General Hospital
SSNAP level,E,E,E,E,E,E,E
SSNAP score,19.6,26.2,29.6,28.9,32.3,27.5,33.3
Case ascertainment band,D,D,C,C,A,C,B
Audit compliance band,D,D,D,D,D,D,C
Combined Total Key Indicator level,E,D,D,D,E,E,E
Combined Total Key Indicator score,33,44,41,40,38,38,39
Number of records completed: Team-centred post-72h all teams cohort,44,32,44,44,56,45,56
Patient-centred Domain levels: 1) Scanning,D,B,C,B,D,C,D
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,E,E,E,E,D,E,E
Patient-centred Domain levels: 6) Physiotherapy,D,A,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,D,E,E,E,E,D
Patient-centred Domain levels: 9) Standards by discharge,C,D,B,D,D,C,D
Patient-centred Domain levels: 10) Discharge processes,B,A,B,B,B,C,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,E,E,D
Patient-centred KI level Patient-centred Total KI score,34,46,42,40,38,38,40
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E
Patient-centred SSNAP level Patient-centred SSNAP score,20.2,27.4,30.3,28.9,32.3,27.5,34.2
Team-centred Domain levels: 1) Scanning,E,D,D,C,D,D,D
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,E,E,E,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,D,A,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,D,E,D,D,D,D
Team-centred Domain levels: 9) Standards by discharge,C,D,B,D,D,C,D
Team-centred Domain levels: 10) Discharge processes,B,A,B,B,B,C,B
Team-centred KI level Team-centred Total KI level,E,D,D,D,E,E,E
Team-centred KI level Team-centred Total KI score,32,42,40,40,38,38,38
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E
Team-centred SSNAP level Team-centred SSNAP score,19,25,28.9,28.9,32.3,27.5,32.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,14,39,67,74,79,81
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,0,0,0,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.07,0,0,0,0.01,0.01
