0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU,Northwick Park Hospital HASU
SSNAP level,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,B,C,B,A
SSNAP score,92,87,89,87.0,88,92,88.0,87.0,89.0,78.0,76.0,83.0,80.0,81.0,82.0,87.0,74.0,69.3,79.0,81.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,B,B,B,A
Combined Total Key Indicator score,92,87,89,87.0,88,92,88.0,87.0,89.0,78.0,76.0,83.0,80.0,81.0,82.0,87.0,74.0,73.0,79.0,81.0
Number of records completed: Team-centred post-72h all teams cohort,318,348,320,356,378,366,348,344,370,385,337,344,399,348,393,323,380,314,285,329
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,C,B,B,C,C,B,B,C,E,D,C,E,D,D,C,E,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,C,B,B
Patient-centred Domain levels: 4) Specialist Assessments,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,B,C,C,B,B,A,A,A,B,C,B,B
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,B,A,A,B,B,B,B,B,B,B,B,A,A,B,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,C,B,A,B,B,A,B,C,B,B,B,C,C,C,C,B,B
