0,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Horton General Hospital,Horton General Hospital,Horton General Hospital,Horton General Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital,John Radcliffe Hospital
SSNAP level,C,D,TFP,TFP,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
SSNAP score,63,52.3,.,.,81,80,79.0,78,77,92.0,90.0,91.0,88.0,87.0,86.0,86.0,82.0,79.0,87.0,87.0,83.0,83.0,85.0
Case ascertainment band,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,B,TFP,TFP,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,D,TFP,TFP,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Combined Total Key Indicator score,63,55,.,.,81,80,79.0,78,77,92.0,90.0,91.0,88.0,87.0,86.0,86.0,82.0,79.0,87.0,87.0,83.0,83.0,85.0
Number of records completed: Team-centred post-72h all teams cohort,42,30,Too few to report,23,163,151,160,152,166,206,201,221,196,234,204,219,234,242,231,224,238,214,217
Patient-centred Domain levels: 1) Scanning,C,C,Too few to report,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,Too few to report,D,C,C,C,C,D,B,B,B,C,D,C,D,C,D,C,C,D,D,C
Patient-centred Domain levels: 3) Thrombolysis,E,E,Too few to report,Too few to report,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 4) Specialist Assessments,B,D,Too few to report,Too few to report,B,B,B,B,B,A,A,A,A,A,B,A,B,B,A,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,C,Too few to report,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,C,Too few to report,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,Too few to report,C,B,C,C,B,C,B,B,B,B,B,B,B,C,C,C,C,C,C,B
