0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-10-01,2019-01-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-10-01,2024-04-01,2024-07-01
Team,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Manor Hospital,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team,Walsall Inpatient Rehab Team
SSNAP level,D,E,E,D,D,C,C,A,C,C,TFP,C,C,C,D,B,D,C,B,A,B,B,B,B,B
SSNAP score,41.9,38.7,30.7,49.3,54,61,60.8,82,65.5,65,.,65.1,65.4,69.8,54.8,73.8,57.5,66.2,72.6,81.4,73.1,74.4,75.8,75.2,76.7
Case ascertainment band,B,A,B,C,A,A,B,A,B,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,D,A,A,A,A,A,A,A,D,C,D,A,A,A,D,A,A,A,B,B,B,A,A
Combined Total Key Indicator level,D,D,E,D,D,C,C,A,C,C,TFP,B,B,C,C,B,C,C,B,A,B,B,B,B,B
Combined Total Key Indicator score,49,43,38,58,54,61,64,82,69,65,.,72.4,76.9,69.8,64.5,73.8,67.6,66.2,72.6,81.4,76.9,78.3,79.8,75.2,76.7
Number of records completed: Team-centred post-72h all teams cohort,93,110,101,83,117,95,97,100,93,85,33,22,33,23,22,21,21,23,22,21,20,21,25,25,29
Patient-centred Domain levels: 1) Scanning,C,C,D,C,C,B,C,A,A,A,Too few to report,,,,,,,,,,,,,,
Patient-centred Domain levels: 2) Stroke unit,C,D,E,C,E,E,D,C,E,E,C,B,A,A,A,A,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,D,E,D,D,C,C,D,Too few to report,,,,,,,,,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,B,D,D,C,D,D,C,B,C,C,Too few to report,,,,,,,,,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,D,C,D,B,C,C,D,A,C,C,E,A,B,C,C,A,A,B,A,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,B,B,B,B,A,B,B,D,A,B,B,B,B,B,B,B,A,B,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,B,B,C,B,B,B,E,B,B,B,B,C,D,D,E,D,D,D,D,E,C
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,B,B,C,C,E,D,C,E,E,C,B,B,C,B,C,C,A,A,B
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,D,B,A,A,A,A,B,A,D,B,D,C,B,C,D,B,A,A,A,B,A,A
Patient-centred Domain levels: 10) Discharge processes,B,C,B,C,C,B,B,B,B,B,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,D,D,E,D,D,C,C,A,B,C,TFP,B,B,C,C,B,C,C,C,A,B,B,A,B,B
Patient-centred KI level Patient-centred Total KI score,48,42,38,58,54,62,64,84,70,66,.,71.4,77.1,62.9,65.7,74.3,68.6,65.7,68.6,82.9,77.1,80.0,82.9,77.1,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,E,E,D,D,C,C,A,C,C,TFP,C,C,C,D,B,D,C,C,A,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,41,37.8,30.7,49.3,54,62,60.8,84,66.5,66,.,64.3,65.6,62.9,55.9,74.3,58.3,65.7,68.6,82.9,73.3,76.0,78.7,77.1,80.0
Team-centred Domain levels: 1) Scanning,C,C,D,C,C,B,C,A,A,A,,,,,,,,,,,,,,,
