0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
Team,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital,Bedford Hospital
SSNAP level,D,D,D,D,E,D,D,D,D,D,X,E,TFP,TFP,E,TFP,D
SSNAP score,54.2,45,49.4,45.9,39.6,46.8,43.2,44.2,50.4,45.9,.,36.3,.,.,36.8,.,49.3
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,X,A,,,A,,A
Audit compliance band,B,C,B,C,C,C,C,D,C,D,X,E,E,TFP,E,TFP,E
Combined Total Key Indicator level,D,D,D,D,D,D,D,D,D,D,X,D,TFP,TFP,D,TFP,C
Combined Total Key Indicator score,57,50,52,51,44,52,48,52,56,54,.,45.3,.,.,46.0,.,61.7
Number of records completed: Team-centred post-72h all teams cohort,51,52,60,67,58,63,63,68,59,71,None completed,21,Too few to report,Too few to report,24,Too few to report,32
Patient-centred Domain levels: 1) Scanning,E,C,C,D,E,D,D,D,D,D,None entered,E,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 2) Stroke unit,B,C,C,C,B,C,C,B,B,B,None entered,E,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,C,C,D,D,D,E,C,None entered,D,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 4) Specialist Assessments,D,E,D,D,E,D,D,D,D,E,None entered,E,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 5) Occupational therapy,A,C,D,C,C,B,C,C,A,B,None entered,D,D,Too few to report,D,Too few to report,A
Patient-centred Domain levels: 6) Physiotherapy,A,B,C,B,D,B,C,B,A,B,None entered,B,D,Too few to report,B,Too few to report,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,None entered,D,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 8) MDT working,D,E,D,E,E,E,D,D,E,E,None entered,E,E,Too few to report,E,Too few to report,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,B,B,B,A,None entered,C,C,Too few to report,B,Too few to report,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,D,C,D,D,C,D,None entered,A,A,Too few to report,A,Too few to report,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D,D,D,No records,D,Not included in scoring,TFP,D,TFP,D
Patient-centred KI level Patient-centred Total KI score,58,50,52,52,44,52,48,52,56,54,.,44,.,.,42.0,.,50
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,E,D,D,D,D,D,X,E,,TFP,E,TFP,D
Patient-centred SSNAP level Patient-centred SSNAP score,55.1,45,49.4,46.8,39.6,46.8,43.2,44.2,50.4,45.9,.,35.2,.,.,33.6,.,40
Team-centred Domain levels: 1) Scanning,E,D,D,D,E,D,D,C,D,E,,,,,,,
Team-centred Domain levels: 2) Stroke unit,B,B,B,C,B,C,B,B,B,B,None entered,E,Too few to report,Too few to report,E,Too few to report,E
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,D,D,D,D,E,C,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,E,D,D,E,D,D,D,D,E,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,A,C,D,B,C,B,C,C,A,B,None entered,E,Too few to report,Too few to report,E,Too few to report,A
Team-centred Domain levels: 6) Physiotherapy,A,B,C,B,C,B,D,C,B,B,None entered,B,Too few to report,Too few to report,B,Too few to report,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,None entered,E,Too few to report,Too few to report,E,Too few to report,E
Team-centred Domain levels: 8) MDT working,D,D,D,E,E,E,D,D,D,D,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,B,B,B,B,A,None entered,D,C,Too few to report,B,Too few to report,A
Team-centred Domain levels: 10) Discharge processes,D,D,C,D,D,C,D,D,C,D,None entered,A,A,Too few to report,B,Too few to report,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,D,D,D,D,D,D,No records,D,Too few to report,TFP,D,TFP,B
Team-centred KI level Team-centred Total KI score,56,50,52,50,44,52,48,52,56,54,.,46.7,.,.,50.0,.,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,E,D,D,D,D,D,X,E,,TFP,D,TFP,D
Team-centred SSNAP level Team-centred SSNAP score,53.2,45,49.4,45,39.6,46.8,43.2,44.2,50.4,45.9,.,37.3,.,.,40.0,.,58.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,109,81,72,93,104,104,113,109,102,75,52,43,47,63,58,43
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,1,1,1,1,98%,0.92,0.9
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0,0,0,4,5,8,13,13,12,15
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0,0.05,0.1,0.19,0.28,21%,0.21,0.35
