0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Ulster Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Downe General Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital,Ulster Hospital
SSNAP level,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,B,C,C,C,D,C,B,B,B,B,C,D,C,C,C
SSNAP score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,63.0,66.0,67.0,59.0,66.0,70.0,73.0,72.0,70.0,61.0,54.0,60.0,65.0,64.0
Case ascertainment band,X,X,X,X,X,X,X,X,X,A,E,E,X,X,X,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,X,X,,X,X,X,X,X,X,A,X,X,X,X,X,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,B,C,C,C,D,C,B,B,B,B,C,D,C,C,C
Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,63.0,66.0,67.0,59.0,66.0,70.0,73.0,72.0,70.0,61.0,54.0,60.0,65.0,64.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,122,Too few to report,Too few to report,None completed,None completed,None completed,112,141,150,126,130,138,124,142,140,126,126,148,149,131,158
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,D,Too few to report,Too few to report,None entered,None entered,None entered,C,B,B,B,C,B,B,A,A,A,B,C,B,A,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,E,Too few to report,Too few to report,None entered,None entered,None entered,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
