0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
Team,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital,West Middlesex University Hospital
SSNAP level,C,C,D,D,B,B,B,D,C,TFP
SSNAP score,63.1,61.8,57.1,50.1,71.4,75.6,72.8,47.6,67.7,.
Case ascertainment band,C,A,B,C,A,A,A,D,A,E
Audit compliance band,D,D,D,D,D,D,D,D,D,X
Combined Total Key Indicator level,A,B,B,C,A,A,A,B,B,TFP
Combined Total Key Indicator score,87.3,72.7,70.7,69.3,84,89,85.7,80,79.7,.
Number of records completed: Team-centred post-72h all teams cohort,30,28,32,25,24,27,31,24,41,Insufficient records
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,Too few to report
Patient-centred Domain levels: 2) Stroke unit,A,C,C,A,A,C,B,B,B,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,A,A,D,A,A,A,A,B,B,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,A,C,B,B,A,A,A,B,A,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,A,B,C,B,C,B,B,B,B,Insufficient records
Patient-centred Domain levels: 6) Physiotherapy,A,D,C,C,B,B,C,B,A,Insufficient records
Patient-centred Domain levels: 7) Speech and Language therapy,B,D,E,B,C,A,A,A,A,Insufficient records
Patient-centred Domain levels: 8) MDT working,D,C,B,B,B,B,B,C,B,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,A,B,B,B,B,Insufficient records
Patient-centred Domain levels: 10) Discharge processes,A,A,A,C,A,A,A,C,C,Insufficient records
Patient-centred KI level Patient-centred Total KI level,A,B,C,A,A,A,A,B,A,TFP
Patient-centred KI level Patient-centred Total KI score,88,72,68,82,88,88,88,80,86,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,D,D,B,B,B,D,B,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,63.6,61.2,54.9,59.2,74.8,74.8,74.8,47.6,73.1,.
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,Insufficient records
Team-centred Domain levels: 5) Occupational therapy,A,B,C,D,C,A,C,B,C,Insufficient records
Team-centred Domain levels: 6) Physiotherapy,A,D,C,D,C,B,B,B,B,Insufficient records
Team-centred Domain levels: 7) Speech and Language therapy,C,D,E,E,C,B,B,B,C,Insufficient records
Team-centred Domain levels: 9) Standards by discharge,C,B,A,B,A,B,B,B,B,Insufficient records
Team-centred Domain levels: 10) Discharge processes,A,A,A,C,A,A,A,C,C,Insufficient records
Team-centred KI level Team-centred Total KI level,A,B,B,D,B,A,A,B,B,TFP
Team-centred KI level Team-centred Total KI score,86.7,73.3,73.3,56.7,80,90,83.3,80,73.3,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,D,D,C,B,B,D,C,TFP
Team-centred SSNAP level Team-centred SSNAP score,62.6,62.3,59.2,40.9,68,76.5,70.8,47.6,62.3,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,52,50,50,54,58,52,45,52,51
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,0.98,0.98
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,5,6,13,8,5,1,2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.02,0.1,0.11,0.22,0.15,0.11,0.02,0.04
