0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01
Team,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital,Ipswich Hospital
SSNAP level,D,C,C,D,D,C,B,A,A,B,B
SSNAP score,53.2,61.8,63.2,47.9,54,65.5,78,84,86,80,77.9
Case ascertainment band,A,A,B,B,A,A,A,A,A,A,B
Audit compliance band,B,B,B,C,C,B,A,A,A,A,A
Combined Total Key Indicator level,D,C,B,D,C,C,B,A,A,B,A
Combined Total Key Indicator score,56,65,70,56,60,69,78,84,86,80,82
Number of records completed: Team-centred post-72h all teams cohort,133,138,113,116,167,149,134,135,131,121,112
Patient-centred Domain levels: 1) Scanning,C,B,B,C,B,C,C,B,C,B,A
Patient-centred Domain levels: 2) Stroke unit,C,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,D,C,B,E,C,C,D,B,B,C,B
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,D,D,C,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,D,B,A,C,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,B,A,C,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,D,E,E,E,E,E,C,C,B,D,E
Patient-centred Domain levels: 8) MDT working,D,C,C,C,C,C,C,B,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,A,A,A,B,A
Patient-centred Domain levels: 10) Discharge processes,C,C,D,D,D,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,C,B,D,C,B,B,A,A,B,A
Patient-centred KI level Patient-centred Total KI score,56,64,70,56,60,70,78,86,86,80,82
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,D,D,C,B,A,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,53.2,60.8,63.2,47.9,54,66.5,78,86,86,80,77.9
Team-centred Domain levels: 1) Scanning,C,B,B,C,B,C,C,B,C,B,A
Team-centred Domain levels: 2) Stroke unit,C,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,D,C,B,E,C,C,D,C,B,C,B
Team-centred Domain levels: 4) Specialist Assessments,C,A,B,D,D,D,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,D,B,A,C,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,B,A,C,B,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,C,C,B,D,E
Team-centred Domain levels: 8) MDT working,C,C,C,C,C,C,C,C,B,B,C
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,A,A,A,B,A
Team-centred Domain levels: 10) Discharge processes,C,C,D,D,D,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,C,B,D,C,C,B,A,A,B,A
Team-centred KI level Team-centred Total KI score,56,66,70,56,60,68,78,82,86,80,82
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,D,D,C,B,A,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,53.2,62.7,63.2,47.9,54,64.6,78,82,86,80,77.9
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,109,105,124,174,205,204,255,221,141,172
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.67,0.65,0.81,0.98,1,0.98,0.95,0.79,0.56,0.65
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,104,98,65,7,0,124,147,133,126,143
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.95,0.93,0.52,0.04,0,0.61,0.58,0.6,0.89,0.83
