SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
  SSNAP level,C,C,C,C,B,B,B,A,B,B,B,A,B,B,B,B,B
  SSNAP score,63.9,63.9,61.2,68.4,80,80,74,85,76,79,78,82,78,78,80.0,79.8,74
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
  Audit compliance band,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,B,B,C,B,B,B,B,A,B,B,B,A,B,B,B,A,B
  Combined Total Key Indicator score,71,71,68,72,80,80,74,85,76,79,78,82,78,78,80.0,84,74
Number of records completed: Team-centred post-72h all teams cohort,166,160,182,164,171,182,170,160,164,157,173,153,162,157,176,144,179
Patient-centred Domain levels: 1) Scanning,B,C,B,C,B,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,C,C,C,C,C,B,B,C,D,C,D,D,D,C,D
Patient-centred Domain levels: 3) Thrombolysis,C,D,C,D,B,B,C,B,C,D,C,C,B,C,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,B,B,B,A,A,B,A,B,B,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,C,A,A,A,B,A,B,A,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,C,A,A,B,B,B,D,B,B,B,B,B,B,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,E,D,E,D,E,D,E,E,E,E,D,D,E
Patient-centred Domain levels: 8) MDT working,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,B,B,B,B,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,C,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,C,B,B,B,B,A,B,B,B,A,B,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,70,72,68,72,80,80,74,86,76,80,78,82,78,78,80.0,84,74
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,C,B,B,B,A,B,B,B,A,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,63,64.8,61.2,68.4,80,80,74,86,76,80,78,82,78,78,80.0,79.8,74
Team-centred Domain levels: 1) Scanning,B,C,B,C,B,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,C,C,C,C,C,C,B,C,D,C,D,D,D,C,D
Team-centred Domain levels: 3) Thrombolysis,C,D,C,D,B,B,C,B,C,D,C,C,B,C,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,B,B,B,A,A,B,A,B,B,A,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,C,A,A,A,B,A,B,A,C
Team-centred Domain levels: 6) Physiotherapy,C,B,C,A,A,B,B,B,D,B,B,B,B,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,E,D,E,D,E,E,E,E,E,E,D,D,E
Team-centred Domain levels: 8) MDT working,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,B,B,C,B,B,B,B,A,A,B,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,C,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,C,B,B,B,B,A,B,B,B,A,B,B,B,A,B
Team-centred KI level Team-centred Total KI score,72,70,68,72,80,80,74,84,76,78,78,82,78,78,80.0,84,74
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,C,C,B,B,B,A,B,B,B,A,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,64.8,63,61.2,68.4,80,80,74,84,76,78,78,82,78,78,80.0,79.8,74
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,232,226,269,290,204,195,207,182,156,180,176,156,143,170,180,173
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,0.94,0.9,0.86,0.85,0.87,0.8,0.85,0.85,0.82,0.75,78%,0.83,0.84
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,38,142,142,168,193,170,153,175,176,156,143,170,179,167
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.14,0.49,0.7,0.86,0.93,0.93,0.98,0.97,1,1,1,100%,0.99,0.97
