SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,B,B,B,B,A,A,A,C,D,C,B,A,B,A,B,B,C,D,D,B,C,C,C,D,D,D,D
  SSNAP score,55.6,54.9,67.5,74,78.8,71.1,75.6,85.5,89,89,62.1,53,66.5,72.2,82.0,76,83.6,72.2,71.3,65.5,58.9,52.3,70.3,64.6,67.5,69.3,58.9,52.3,52.3,54.2
  Case ascertainment band,B,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
  Audit compliance band,C,C,C,B,B,C,C,B,A,A,C,C,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
  Combined Total Key Indicator level,C,C,B,A,A,B,A,A,A,A,C,C,B,B,A,B,A,B,B,C,C,D,B,C,B,B,C,D,D,D
  Combined Total Key Indicator score,65,61,79,82,83,79,84,90,89,89,69,62,70,76,82.0,76,88,76.0,75.0,69.0,62.0,58.0,74.0,68.0,71.0,73.0,62.0,55.0,55.0,57.0
Number of records completed: Team-centred post-72h all teams cohort,102,116,104,103,115,119,125,115,123,115,126,118,143,138,143,124,141,137,139,134,121,114,135,169,178,160,153,131,106,135
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,D,E,C,C,C,C,C,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,B,B,A,B,B,C,B,C,D,D,C,C,C,B,D,D,D,D,D,C,D,D,D,E,D,E,E
Patient-centred Domain levels: 4) Specialist Assessments,A,C,B,B,A,B,A,A,A,A,B,C,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,C,B,A,A,A,A,A,A,A,C,A,B,A,B,B,A,A,A,A,C,C,A,A,B,A,C,D,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,D,B,A,A,B,B,A,A,A,B,A,A,B,B,C,A,A,A,A,C,D,A,B,B,A,C,D,C,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,D,C,C,C,D,C,B,B,C,B,C,C,C,C,C,C,B,C,B,C,C,B,C,C,C,C,E,D,E
Patient-centred Domain levels: 8) MDT working,A,C,C,C,C,C,C,B,B,B,C,D,C,C,B,C,B,C,B,C,C,C,C,B,C,C,C,C,C,B
Patient-centred Domain levels: 9) Standards by discharge,C,B,A,A,A,A,A,A,A,A,D,D,B,A,A,A,A,A,B,E,C,D,C,D,B,C,C,C,D,B
Patient-centred Domain levels: 10) Discharge processes,A,C,A,A,B,A,A,A,A,A,C,C,C,B,A,A,A,B,A,A,B,A,A,A,A,A,B,A,B,B
Patient-centred KI level Patient-centred Total KI level,C,C,B,A,A,B,A,A,A,A,C,C,C,B,A,B,A,B,B,B,C,D,B,B,B,B,C,D,D,D
Patient-centred KI level Patient-centred Total KI score,66,60,78,82,82,78,84,90,88,88,68,62,68,78,82.0,76,88,76.0,76.0,70.0,62.0,58.0,74.0,70.0,70.0,72.0,60.0,56.0,56.0,58.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,B,B,B,B,A,A,A,C,D,C,B,A,B,A,B,B,C,D,D,B,C,C,C,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,56.4,54,66.7,74,77.9,70.2,75.6,85.5,88,88,61.2,53,64.6,74.1,82.0,76,83.6,72.2,72.2,66.5,58.9,52.3,70.3,66.5,66.5,68.4,57.0,53.2,53.2,55.1
Team-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,D,D,D,D,E,C,C,C,C,C,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,B,B,B,A,B,B,C,B,C,D,D,D,C,C,B,D,D,D,D,D,C,D,D,D,E,D,E,E
Team-centred Domain levels: 4) Specialist Assessments,A,C,B,B,A,B,A,A,A,A,B,C,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,E,C,B,A,A,A,A,A,A,A,C,B,B,A,B,C,A,A,A,A,C,C,A,B,B,A,C,E,D,C
Team-centred Domain levels: 6) Physiotherapy,E,D,B,A,A,B,B,A,A,A,B,A,A,C,B,C,A,A,A,A,C,D,A,B,B,B,B,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,C,D,C,C,C,D,C,B,B,B,B,C,C,C,C,C,C,B,D,C,C,C,B,C,C,B,C,E,D,E
Team-centred Domain levels: 8) MDT working,A,B,B,C,B,B,C,B,A,B,B,C,B,C,B,B,B,C,B,C,C,C,C,B,B,B,B,B,B,B
