SSNAP Scoring Summary:,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,B,B,B,B,C,B,A,B,A,B,B,B,B,C,B,C,B,B,A,B,B,B
  SSNAP score,79.7,74.3,70.5,70,67.8,75.6,83.0,78.8,87.4,77.3,70.5,76.8,74.0,68.0,77.1,69.7,72.8,73.4,81.0,78.5,75.4,79.6
  Case ascertainment band,A,B,A,B,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,A,B,D,D,C,D,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D
  Combined Total Key Indicator level,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
  Combined Total Key Indicator score,79.7,82.3,83,86.7,88.7,89,92.0,92.7,92,91.0,83.0,90.3,87.0,80.0,90.7,82.0,85.7,86.3,95.3,92.3,88.7,93.7
Number of records completed: Team-centred post-72h all teams cohort,61,48,81,62,56,69,60,85,99,76,85,91,81,63,78,74,68,73,73,73,74,63
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,B,C,B,B,C,B,C,B,B,B,B,C,C,C,C,C,C,B,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,A,A,A,A,A,A,A,A,B,C,B,C,C,B,B,A,A,B,C,C,A
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,A,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,B,B,B,B,B,A,A,B,C,B,C,C,B,B,B,C,B,A,B,B
Patient-centred Domain levels: 8) MDT working,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,B,A,B,A,A,B,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,A,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,C,A,B,B,A,B,B,B,B,A,A,B,A,C,B,A,A,B,B,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,76,88,86,90,94,88,94.0,92,94,92.0,86.0,94.0,84.0,80.0,88.0,84.0,88.0,86.0,94.0,88.0,84.0,94.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,B,B,B,B,A,B,A,B,B,B,B,C,B,B,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,76,79.4,73.1,72.7,71.9,74.8,84.8,78.2,89.3,78.2,73.1,79.9,71.4,68.0,74.8,71.4,74.8,73.1,79.9,74.8,71.4,79.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,C,B,B,B,A,B,A,A,A,B,B,B,B,A,B,B,B,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,D,C,C,D,B,C,B,C,C,E,C,C,C,C,C,C,C,B,B,B,C
Team-centred Domain levels: 9) Standards by discharge,C,B,B,B,A,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,C,B,B,B,A,B,B,B,A,A,A,B,A,C,B,A,A,A,B,A
Team-centred KI level Team-centred Total KI level,A,B,B,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,83.3,76.7,80,83.3,83.3,90,90.0,93.3,90,90.0,80.0,86.7,90.0,80.0,93.3,80.0,83.3,86.7,96.7,96.7,93.3,93.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,C,C,C,C,B,A,B,A,B,C,B,B,C,B,C,B,B,A,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,83.3,69.2,68,67.3,63.8,76.5,81.2,79.3,85.5,76.5,68.0,73.7,76.5,68.0,79.3,68.0,70.8,73.7,82.2,82.2,79.3,79.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),84,74,163,156,136,140,143,120,112,117,114,127,133,136,157,149,112,101,112,106,99,120
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.93,0.91,0.96,0.99,0.99,0.99,100%,0.99,0.98,97%,94%,96%,99%,99%,99%,99%,96%,87%,89%,91%,87%,90%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),18,13,7,8,1,4,15,19,30,25,24,22,13,8,11,11,7,15,12,18,21,17
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.21,0.18,0.04,0.05,0.01,0.03,10%,0.16,0.27,21%,21%,17%,10%,6%,7%,7%,6%,15%,11%,17%,21%,14%
